Title,Summary,Content,URL,Contributor
Chương trình đào tạo cử nhân hệ chính quy ngành Công nghệ thông tin chất lượng cao,Thông tin liên lạc,"""KHOA CÔNG NGHỆ THÔNG TIN
Địa chỉ:     Phòng 210 - Nhà C
Điện thoại:     (84.24) 35 43 02 67     
Fax:        (84.24) 38 54 45 50
E-mail:     fit@hanu.edu.vn
Website:     http://fit.hanu.edu.vn
Facebook:    https://www.facebook.com/hanufit/""",https://hanu.edu.vn/c/7928/Cong-nghe-thong-tin-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Công nghệ thông tin chất lượng cao,Chương trình đào tạo tiên tiến,"""- Tham khảo có chọn lọc từ các chương trình đào tạo quốc tế của Mỹ, Anh và Nhật Bản, đáp ứng xu thế hiện đại và nhu cầu nhân lực mới của ngành CNTT trong nước và nước ngoài. 
- Trang bị kiến thức nền tảng, các kỹ năng nghề nghiệp, kỹ năng cá nhân, kỹ năng mềm và ngoại ngữ, đảm bảo sinh viên tốt nghiệp có thể làm việc tốt tại các doanh nghiệp trong và ngoài nước hoặc học tập ở bậc cao hơn.
- Nội dung thực hành đa dạng, số giờ thực hành chiếm trên 60% toàn khóa. Các môn tự chọn phong phú hướng tới rèn luyện kỹ năng nghề nghiệp. Doanh nghiệp cam kết tham gia xây dựng nội dung học phần, tổ chức giảng dạy (tối thiểu 30% tổng thời lượng của chương trình), tổ chức thực tập và đảm bảo đầu ra sau khi tốt nghiệp.""",https://hanu.edu.vn/c/7928/Cong-nghe-thong-tin-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Công nghệ thông tin chất lượng cao,Sử dụng thành thạo tiếng Anh và tiếng Nhật,"""- Rèn luyện cho người học kỹ năng sử dụng tiếng Anh tốt (đạt năng lực bậc 4 theo Khung năng lực ngoại ngữ 6 bậc dùng cho Việt Nam), có khả năng học tập và làm việc trong môi trường giao tiếp hoàn toàn bằng tiếng Anh.
- Học tiếng Nhật, văn hóa và môi trường doanh nghiệp Nhật Bản, có thể sử dụng tiếng Nhật để làm việc trong ngành CNTT Nhật Bản.""",https://hanu.edu.vn/c/7928/Cong-nghe-thong-tin-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Công nghệ thông tin chất lượng cao,"""Cơ hội nhận học bổng, học chuyển tiếp tại nước ngoài""","""- Người học có nhiều cơ hội nhận được học bổng hỗ trợ học tập, nghiên cứu của các doanh nghiệp CNTT trong nước và nước ngoài.
- Học trao đổi 01 kỳ hoặc 01 năm tại các trường đối tác của Trường ĐH Hà Nội tại Úc, Italia và Nhật Bản.
- Sau khi tốt nghiệp, có thể tiếp tục theo học các chương trình thạc sĩ về CNTT tại các cơ sở đào tạo trong nước và nước ngoài.""",https://hanu.edu.vn/c/7928/Cong-nghe-thong-tin-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Công nghệ thông tin chất lượng cao,"""Giảng viên, chuyên gia, và doanh nghiệp cùng giảng dạy""","""- 100% giảng viên được đào tạo tại nước ngoài, tham gia tích cực vào mạng lưới nghiên cứu CNTT và Truyền thông tại Việt Nam.
- Giảng dạy chuyên ngành: các Phó Giáo sư, Tiến sĩ và Thạc sĩ có bề dày kinh nghiệm giảng dạy và nghiên cứu khoa học, được đào tạo ở các nước tiên tiến; cùng các chuyên gia về CNTT là doanh nhân hoặc giảng viên các cơ sở đào tạo & nghiên cứu có uy tín của Việt Nam, Anh, Úc, Hoa Kỳ, Nhật Bản.
- Giảng dạy ngoại ngữ: Giảng viên uy tín và kinh nghiệm của Trường Đại học Hà Nội. """,https://hanu.edu.vn/c/7928/Cong-nghe-thong-tin-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Công nghệ thông tin chất lượng cao,Cơ hội nghề nghiệp - vị trí việc làm,"""Sau khi tốt nghiệp, người học đáp ứng được những yêu cầu mới của thị trường lao động nội địa, khu vực và quốc tế do đó sẽ có nhiều cơ hội việc làm, học tập nâng cao trình độ và phát triển bản thân với các vị trí việc làm sau: 
- Vị trí việc làm thuộc nhóm Phát triển sản phẩm phần mềm như: Lập trình viên (front-end, back-end, web và mobile); chuyên viên phân tích nghiệp vụ/ yêu cầu người dùng; chuyên viên thiết kế phần mềm; chuyên viên kiểm thử và đảm bảo chất lượng phần mềm; chuyên viên quản trị dự án và quy trình phát triển phần mềm.
- Vị trí việc làm thuộc nhóm Triển khai, quản trị Mạng máy tính và các hệ thống thông tin như: chuyên viên quản trị và vận hành hệ thống (mạng, cơ sở dữ liệu và dịch vụ, ảo hóa và điện toán đám mây); chuyên viên an toàn và bảo mật thông tin; chuyên viên tư vấn ứng dụng và triển khai hệ thống thông tin.
- Kỹ sư cầu nối, chuyên viên tư vấn kỹ thuật, quản trị dự án, chăm sóc khách hàng cho các doanh nghiệp nước ngoài, đặc biệt là các doanh nghiệp CNTT Nhật Bản.
- Viên chức CNTT hạng III làm việc tại các đơn vị sự nghiệp công lập bao gồm các chức danh: phát triển phần mềm, kiểm định viên CNTT, quản trị viên hệ thống, an toàn thông tin.
- Tiếp tục học tập nâng cao trình độ ở các bậc học cao hơn như thạc sĩ, tiến sĩ để phục vụ công tác nghiên cứu, giảng dạy về CNTT tại các viện, trung tâm và cơ sở đào tạo.""",https://hanu.edu.vn/c/7928/Cong-nghe-thong-tin-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Công nghệ thông tin chất lượng cao,"""Nội dung chương trình đào tạo - Giới thiệu chung""","""Thời gian đào tạo: 04 năm 
Tổng số tín chỉ: 163 tín chỉ
Chương trình giảng dạy bằng Tiếng Anh""",https://hanu.edu.vn/c/7928/Cong-nghe-thong-tin-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Công nghệ thông tin chất lượng cao,"""Nội dung chương trình đào tạo - Khối kiến thức giáo dục đại cương""","""KHỐI KIẾN THỨC GIÁO DỤC ĐẠI CƯƠNG: 66 tín chỉ (TC)
Cung cấp kiến thức chung mà sinh viên các chương trình đại học cần biết: Triết học Mác - Lê-nin (3T), Kinh tế chính trị Mác - Lê-nin (2TC), Chủ nghĩa xã hội khoa học (2T), Tư tưởng Hồ chí Minh (2TC), Lịch sử Đảng CSVN (2TC), Pháp luật đại cương (2TC), Giáo dục Thể chất (3TC), Giáo dục Quốc phòng - An ninh (8TC), Thực hành tiếng Anh từ trình độ A2 đến B2 (42TC).""",https://hanu.edu.vn/c/7928/Cong-nghe-thong-tin-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Công nghệ thông tin chất lượng cao,"""Nội dung chương trình đào tạo - Khối kiến thức ngôn ngữ Nhật Bản""","""KHỐI KIẾN THỨC CƠ SỞ NGÀNH: 37 tín chỉ (TC)
- Toán cao cấp: 3 TC; Toán rời rạc: 3 TC; Xác suất thống kê: 3 TC
- Phương pháp nghiên cứu khoa học: 2 TC
- Nguyên lý máy tính : 3 TC; Nguyên lý hệ điều hành: 3 TC
- Lập trình 1: 3 TC; Lập trình 2: 3 TC
- Cấu trúc dữ liệu và giải thuật: 3 TC
- Nhập môn an toàn thông tin: 3 TC""",https://hanu.edu.vn/c/7928/Cong-nghe-thong-tin-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Công nghệ thông tin chất lượng cao,"""Nội dung chương trình đào tạo - Khối kiến thức cơ sở ngành""","""KHỐI KIẾN THỨC NGÔN NGỮ NHẬT BẢN (tự chọn): 20 TC
- Thực hành tiếng 1A1: 4 TC
- Thực hành tiếng 2A1: 4 TC
- Thực hành tiếng 3A1: 4 TC
- Thực hành tiếng 1A2: 4 TC
- Thực hành tiếng 2A2: 4 TC
- Thực hành tiếng 1B1: 3 TC
- Thực hành tiếng 2B1: 3 TC
- Thực hành tiếng 3B1: 3 TC
- Thực hành tiếng 1B2: 3 TC
- Thực hành tiếng 2B2: 3 TC""",https://hanu.edu.vn/c/7928/Cong-nghe-thong-tin-CLC,
