Title,Summary,Content,URL,Contributor
Chương trình đào tạo cử nhân hệ chính quy ngành Marketing,Thông tin chung,"""Khoa đào tạo chính quy đầu tiên ở Việt Nam có 100% các môn chuyên ngành giảng dạy bằng tiếng Anh theo chương trình, giáo trình chuẩn quốc tế của các nước Anh, Ô-xtrây-li-a, Hoa Kỳ. Bên cạnh đó, Khoa còn tổ chức đào tạo một số chứng chỉ hành nghề quốc tế trong lĩnh vực kế toán, kiểm toán và phân tích tài chính như ACCA và CFA.""",https://hanu.edu.vn/c/7926/Marketing,
Chương trình đào tạo cử nhân hệ chính quy ngành Marketing,Giới thiệu chương trình đào tạo,"""- Cung cấp cho sinh viên kiến thức chuyên sâu trong các lĩnh vực Marketing, xây dựng tư duy hệ thống và tư duy chiến lược trong các hoạt động Marketing, khả năng áp dụng các công cụ Marketing trong giải quyết các vấn đề của tổ chức/doanh nghiệp, phát triển năng lực nghề nghiệp đa dạng giúp cho sinh viên đáp ứng tốt với đòi hỏi khắt khe của thị trường nhân lực ngành Marketing trong nước và quốc tế.
- Chương trình có tính thực tiễn cao dựa trên mối quan hệ với đối tác từ các doanh nghiệp trong nước có thế mạnh trong lĩnh vực Marketing (Suntory Pepsico, Unilever, Vingroup).
- Tiếp cận kiến thức Marketing chuẩn quốc tế với các ứng dụng và minh họa thực tiễn tại Việt Nam.""",https://hanu.edu.vn/c/7926/Marketing,
Chương trình đào tạo cử nhân hệ chính quy ngành Marketing,Giảng viên,"""- Trên 90% giảng viên có bằng thạc sĩ và tiến sĩ của các trường đại học quốc tế có uy tín của Vương Quốc Anh, Ô-xtrây-li-a, Hoa Kỳ, Ca-na-da và Châu Âu.
- Có kinh nghiệm giảng dạy tại các chương trình của các đại học nước ngoài (ĐH La Trobe, ĐH IMC Krems, ĐH Oxford Brookes, ĐH RMIT Hà Nội, ĐH Portland State, ĐH Pavia, ĐH Ca' Foscari Venice).
- Đội ngũ giảng viên thỉnh giảng là những nhà quản lý, tư vấn, chuyên gia kinh tế, chuyên gia tài chính của các tổ chức, doanh nghiệp, tập đoàn lớn trong nước và quốc tế có uy tín chuyên môn và kinh nghiệm thực tế.""",https://hanu.edu.vn/c/7926/Marketing,
Chương trình đào tạo cử nhân hệ chính quy ngành Marketing,Học bổng,"""- Học bổng toàn phần hoặc bán phần của Trường ĐH Hà Nội cho các sinh viên học giỏi; miễn giảm học phí cho các sinh viên thuộc diện chính sách.
- Nhiều cơ hội nhận học bổng từ các doanh nghiệp, quỹ học bổng (Lotte, Nguyễn Trường Tộ), các cơ quan, đại diện ngoại giao (Đại sứ quán Hoa Kỳ) tại Việt Nam.
- Học bổng đi học tại châu Âu trong 01 kỳ hoặc 01 năm với các dự án của Erasmus Plus Mobility.
- Sinh viên có cơ hội học trao đổi hoặc chuyển tiếp tại các trường ĐH danh tiếng khi học hết năm thứ 2 hoặc năm thứ 3. Một số trường đại học đối tác tiếp nhận sinh viên bao gồm Trường ĐH Albany SUNY (Hoa Kỳ), Trường ĐH Waikato (Niu Di-lân), Trường ĐH Công nghệ Auckland (Niu Di-lân), Trường ĐH Westminster (Anh), Trường ĐH Sheffield Hallam (Anh), Trường ĐH Quốc gia Kangnung (Hàn Quốc).""",https://hanu.edu.vn/c/7926/Marketing,
Chương trình đào tạo cử nhân hệ chính quy ngành Marketing,Việc làm,"""- Với phương châm đào tạo linh hoạt, gắn liền với thực tiễn và nhu cầu xã hội, sinh viên ngành Marketing khi tốt nghiệp sẽ tự tin đầu quân cho các doanh nghiệp trong nước và quốc tế trong lĩnh vực quản trị quảng cáo và xúc tiến thương mại, quản trị bán hàng, quản trị quan hệ công chúng, truyền thông Marketing, quản trị thương hiệu, nghiên cứu và phân tích thị trường.
- Theo các điều tra trước khi ra trường, trên 80% sinh viên có việc làm phù hợp ngay trong kỳ thực tập và 97% có việc làm sau khi tốt nghiệp với mức lương từ 8 - 10 triệu đồng.""",https://hanu.edu.vn/c/7926/Marketing,
Chương trình đào tạo cử nhân hệ chính quy ngành Marketing,"""Nội dung chương trình đào tạo - Thông tin chung""","""Thời gian đào tạo: 04 năm	
Tổng số tín chỉ: 147 tín chỉ
Chương trình giảng dạy bằng tiếng Anh""",https://hanu.edu.vn/c/7926/Marketing,
Chương trình đào tạo cử nhân hệ chính quy ngành Marketing,"""Nội dung chương trình đào tạo - Khối kiến thức giáo dục đại cương""","""KHỐI KIẾN THỨC GIÁO DỤC ĐẠI CƯƠNG: 69 tín chỉ (TC)
Cung cấp kiến thức chung mà sinh viên các chương trình đại học cần biết: Triết học Mác - Lê-nin (3TC), Kinh tế chính trị Mác - Lê-nin (2TC), Chủ nghĩa xã hội khoa học (2TC), Tư tưởng Hồ Chí Minh (2TC), Lịch sử Đảng CSVN (2TC), Pháp luật đại cương (2TC), Ứng dụng công nghệ thông tin (3TC), Thực hành tiếng A2 - B2 (42TC), Giáo dục Thể chất (3TC), Giáo dục quốc phòng - An ninh (8TC)""",https://hanu.edu.vn/c/7926/Marketing,
Chương trình đào tạo cử nhân hệ chính quy ngành Marketing,"""Nội dung chương trình đào tạo - Khối kiến thức cơ sở ngành""","""KHỐI KIỀN THỨC CƠ SỞ NGÀNH: 21 tín chỉ (TC) 
Cung cấp kiến thức nền tảng và các định hướng nghề nghiệp liên quan:
1. Bắt buộc: 21 TC
- Toán cao cắp và ứng dụng trong kinh tế - kinh doanh: 3TC
- Nguyên lý Marketing: 3TC
- Thống kê ứng dụng trong kinh doanh và kinh tế: 3TC
- Xác suất và thống kê: 3TC	
- Quản trị học: 3TC 
- Kinh tế vi mô: 3TC 
- Kinh tế vĩ mô: 3TG
2. Tự chọn: 6 TC - Chọn 6 trong số 21 tín chỉ của các học phần sau:
- Nguyên lý kế toán: 3TC	
- Kinh tế lượng: 3TC
- Quản trị tài chính: 3TC
- Phương pháp nghiên cứu trong Kinh doanh: 3TC
- Đạo đức kinh doanh: 3TC
- Bền vững trong Kinh doanh: 3TC
- Luật kinh tế: 3TC""",https://hanu.edu.vn/c/7926/Marketing,
Chương trình đào tạo cử nhân hệ chính quy ngành Marketing,"""Nội dung chương trình đào tạo - Khối kiến thức chuyên ngành""","""KHỐI KIẾN THỨC CHUYÊN NGÀNH: 36 tín chỉ (TC)
1. Bắt buộc: 21 TC
- Hành vi khách hàng: 3TC 
- Marketing Chiến lược: 3TC
- Nghiên cứu Marketing: 3TC 
- Marketing kỹ thuật số: 3TC
- Truyền thông Marketing tích hợp: 3TC 
- Đạo đức và các vấn đề đương đại trong Marketing: 3TC
- Marketing dịch vụ: 3TC 
2. Tự chọn - Chọn 15 TC (12 TC đối với sinh viên làm khóa luận) trong số 33 TC của các học phần dưới đây:
- Marketing quốc tế: 3TG 
- Sáng tạo trong Marketing: 3TC
- Xây dựng và quản trị thương hiệu: 3TC 
- Quan hệ công chúng: 3TC
- Marketing tới khách hàng doanh nghiệp: 3TC
- Phân tích dữ liệu Marketing: 3TC
- Bán lẻ và Quản trị bán hàng: 3TC 
- Marketing cho dịch vụ tài chính: 3TC
- Quản trị Chiến dịch Marketing & Sự kiện: 3TC  
- Khởi nghiệp: 3TC
- Marketing Xã hội: 3TC""",https://hanu.edu.vn/c/7926/Marketing,
Chương trình đào tạo cử nhân hệ chính quy ngành Marketing,"""Nội dung chương trình đào tạo - Khối kiến thức bổ trợ""","""KHỐI KIẾN THỨC BỔ TRỢ:
Chọn 12 tín chỉ (6 tín chỉ đối với sinh viên làm khóa luận) trong các học phần sau:
NGÀNH TÀI CHÍNH - KẾ TOÁN:
- Hệ thống tài chính: 3TC 
- Tài chính doanh nghiệp: 3TC
- Kế toán tài chính 1: 3TC 
- Phân tích báo cáo tài chính: 3TC
- Kế toán quản trị: 3TC
NGÀNH QUẢN TRỊ DVDL VÀ LỮ HÀNH: NGÀNH QUẢN TRỊ KINH DOANH:
- Nhập môn du lịch: 3TC 
- Giao tiếp trong kinh doanh: 3TG
- Marketing điểm đến: 3TC 
- Quản trị chiến lược: 3TC
- Quản trị khách sạn: 3TC 
- Quản trị nhân sự: 3TC
- Quản trị lữ hành: 3TC
- Hành vi tổ chức: 3TC
- Quản trị kinh doanh quốc tế: 3TC
- Quản trị dự án: 3TC.
DỰ ÁN TỐT NGHIỆP: 6TC""",https://hanu.edu.vn/c/7926/Marketing,
