Title,Summary,Content,URL,Contributor
Chương trình đào tạo cử nhân hệ chính quy ngành Truyền thông đa phương tiện,Thông tin chung,"""Truyền thông đa phương tiện là ngành học ứng dụng Công nghệ thông tin (CNTT) trong việc sáng tạo, thiết kế và phát triển những sản phẩm, dịch vụ đa phương tiện và tương tác cho các lĩnh vực truyền thông (quảng cáo, truyền hình…), kinh doanh (marketing, thương mại điện tử…), giáo dục (đào tạo trực tuyến, thực tại ảo…), giải trí (trò chơi điện tử, phim, âm nhạc…). Ngành Truyền thông đa phương tiện có sự giao thoa kiến thức của nhiều lĩnh vực như CNTT, Mỹ thuật, Truyền thông, Marketing… nhưng yêu cầu quan trọng nhất đối với người học ngành này là cần có sự đam mê và liên tục sáng tạo.""",https://hanu.edu.vn/c/7929/Truyen-thong-da-phuong-tien,
Chương trình đào tạo cử nhân hệ chính quy ngành Truyền thông đa phương tiện,Chương trình đào tạo tiên tiến,"""- Tham khảo có chọn lọc từ các chương trình đào tạo quốc tế của Mỹ và Úc, đáp ứng xu thế hiện đại và nhu cầu nhân lực mới trong ngành truyền thông trong nước và nước ngoài.
- Cung cấp kiến thức nền tảng của 03 ngành: Công nghệ thông tin, Truyền thông, Marketing; kiến thức chuyên sâu về truyền thông, quảng cáo, marketing, kinh doanh điện tử, thiết kế nội dung số, lập trình phát triển sản phẩm đa phương tiện…
- Nội dung thực hành đa dạng, số giờ thực hành chiếm trên 60% nội dung toàn khóa. Các môn tự chọn phong phú, hướng tới rèn luyện kỹ năng nghề nghiệp cho sinh viên. Có sự cam kết tham gia của doanh nghiệp trong hoạt động đào tạo và đảm bảo đầu ra sau khi tốt nghiệp.""",https://hanu.edu.vn/c/7929/Truyen-thong-da-phuong-tien,
Chương trình đào tạo cử nhân hệ chính quy ngành Truyền thông đa phương tiện,Sử dụng thành thạo tiếng Anh,"""- Rèn luyện cho sinh viên kỹ năng sử dụng tiếng Anh tốt (đạt năng lực tiếng Anh bậc 4 theo Khung năng lực ngoại ngữ 6 bậc dùng cho Việt Nam), có khả năng học tập và làm việc trong môi trường giao tiếp hoàn toàn bằng tiếng Anh.
- Học ngoại ngữ với một trường đại học có truyền thống về giảng dạy ngoại ngữ hơn 60 năm; học chuyên môn với các giảng viên trẻ nhiệt tình, năng động, giỏi chuyên môn, được đào tạo tại Anh, Úc và Hoa Kỳ.""",https://hanu.edu.vn/c/7929/Truyen-thong-da-phuong-tien,
Chương trình đào tạo cử nhân hệ chính quy ngành Truyền thông đa phương tiện,Giảng viên và chuyên gia,"""- 100% giảng viên được đào tạo tại nước ngoài, tham gia tích cực vào mạng lưới nghiên cứu CNTT và Truyền thông tại Việt Nam.
- Giảng dạy chuyên ngành: Đội ngũ giảng viên cơ hữu trình độ Tiến sĩ và Thạc sĩ, cùng các chuyên gia về CNTT, Truyền thông đa phương tiện, Marketing là doanh nhân hoặc giảng viên các cơ sở đào tạo & nghiên cứu có uy tín của Việt Nam, Anh, Úc, Hoa Kỳ.
- Giảng dạy ngoại ngữ: Giảng viên uy tín và kinh nghiệm của Trường Đại học Hà Nội.""",https://hanu.edu.vn/c/7929/Truyen-thong-da-phuong-tien,
Chương trình đào tạo cử nhân hệ chính quy ngành Truyền thông đa phương tiện,Việc làm,"""Sinh viên tốt nghiệp chương trình đáp ứng được những yêu cầu mới của thị trường lao động đối với nguồn nhân lực năng động, sáng tạo, có năng lực ngoại ngữ và kiến thức liên ngành; do đó sẽ có nhiều cơ hội việc làm, học tập nâng cao trình độ và phát triển bản thân. 
Sau khi tốt nghiệp sinh viên có thể làm việc tại các vị trí:
- Các vị trí việc làm thuộc nhóm truyền thông, quảng cáo: truyền thông, marketing, tổ chức sự kiện, quảng bá sản phẩm, quản trị thương hiệu.
- Các vị trí việc làm thuộc nhóm sáng tạo sản phẩm và dịch vụ đa phương tiện: sáng tạo nội dung số và ấn phẩm truyền thông, biên tập video, thiết kế đồ họa, thiết kế web, phát triển games.
- Tư vấn kỹ thuật, quản trị dự án, chăm sóc khách hàng cho các doanh nghiệp truyền thông và sáng tạo nội dung số.
- Nghiên cứu viên: có khả năng tiếp tục học tập nâng cao trình độ ở các bậc học cao hơn như thạc sĩ, tiến sĩ để phục vụ công tác nghiên cứu, giảng dạy về TTĐPT tại các viện, trung tâm và cơ sở đào tạo.""",https://hanu.edu.vn/c/7929/Truyen-thong-da-phuong-tien,
Chương trình đào tạo cử nhân hệ chính quy ngành Truyền thông đa phương tiện,"""Nội dung chương trình đào tạo - Thông tin chung""","""Thời gian đào tạo: 04 năm
Chương trình giảng dạy bằng Tiếng Anh
Tổng số tín chỉ: 153 tín chỉ""",https://hanu.edu.vn/c/7929/Truyen-thong-da-phuong-tien,
Chương trình đào tạo cử nhân hệ chính quy ngành Truyền thông đa phương tiện,"""Nội dung chương trình đào tạo - Khối kiến thức giáo dục đại cương""","""KHỐI KIẾN THỨC GIÁO DỤC ĐẠI CƯƠNG: 66 tín chỉ (TC)
Cung cấp kiến thức chung mà sinh viên các chương trình đại học oần biết: Triết học Mác - Lê-nin (3TC), Kinh tế chính trị Mác — Lê-nin (2TC), Chủ nghĩa xã hội khoa học (2TC), Tư tưởng Hồ chí Minh (2TC), Lịch sử Đảng CSVN (2TC), Pháp luật đại cương (2TC), Giáo dục Thể chất (3TC), Giáo dục Quốc phòng-An ninh (8BTC), Thực hành tiếng Anh từ trình độ A2 đến B2 (42).""",https://hanu.edu.vn/c/7929/Truyen-thong-da-phuong-tien,
Chương trình đào tạo cử nhân hệ chính quy ngành Truyền thông đa phương tiện,"""Nội dung chương trình đào tạo - Khối kiến thức cơ sở ngành""","""KHỐI KIẾN THỨC CƠ SỞ NGÀNH: 38 tín chỉ (TC)
1. Bắt buộc: 32 TC
- Toán rời rạc: 3 TC
- Nguyên lý máy tính: 3 TC
- Lập trình 1: 3 TC;
- Phương pháp nghiên cứu khoa học: 2 TC
- Quản lý dự án: 3 TC
- Đồ họa máy tính 1: 3 TC
- Tâm lý học truyền thông: 3 TC
- Phương tiện truyền thông đại chúng: 3 TC
- Nguyên lý Marketing: 3 TC
- Nghiên cứu Marketing: 3 TC
2. Tự chọn: 06 TC - Chọn 6 trong số 12 TC của các học phần sau:
- Lập trình 2: 3 TC
- Quan hệ công chúng: 3 TC
- Truyền thông doanh nghiệp: 3 TC
- Hành vi khách hàng: 3 TC""",https://hanu.edu.vn/c/7929/Truyen-thong-da-phuong-tien,
Chương trình đào tạo cử nhân hệ chính quy ngành Truyền thông đa phương tiện,"""Nội dung chương trình đào tạo - Khối kiến thức ngành""","""KHỐI KIẾN THỨC NGÀNH: 39 tín chỉ (TC)
1. Bắt buộc: 27 TC
- Phân tích thiết kế hệ thống: 3 TC
- Đồ họa máy tính 2: 3 TC
- Cơ sở dữ liệu: 3 TC 
- Đa phương tiện: 3 TC
- Thiết kế Web: 3 TG 
- Chuyên đề truyền thông đa phương tiện 
- Internet và dịch vụ Web: 3 TC 
- Truyền thông hình ảnh: 3 TC
2. Tự chọn: 12 TC - Chọn 12 trong số 24 TC của các học phần sau:
- Thiết kế giao diện Mobile App: 3 TC;
- Thiết kế trải nghiệm người dùng: 3 TC;
- Đồ họa máy tính 3: 3 TC;
- Thiết kế game: 3 TC;
- Kinh doanh điện tử: 3 TC
- Marketing kỹ thuật số: 3 TG
- Quảng cáo và Sáng tạo quảng cáo: 3 TC
- Xây dựng và quản trị thương hiệu: 3 TC""",https://hanu.edu.vn/c/7929/Truyen-thong-da-phuong-tien,
Chương trình đào tạo cử nhân hệ chính quy ngành Truyền thông đa phương tiện,"""Nội dung chương trình đào tạo - Thực tập và khóa luận tốt nghiệp""","""THỰC TẬP VÀ KHÓA LUẬN TỐT NGHIỆP: 10 tín chỉ (TC)
- Thực tập tốt nghiệp: 4 TC
- Khóa luận tốt nghiệp hoặc 2 học phần thay thế khóa luận tốt nghiệp: Chọn 6 TC trong số 12 TC của các học phần sau:
+ Đạo đức nghề nghiệp trong ngành công nghệ thông tin: 3 TC
+ Các chủ đề mới trong Công nghệ thông tin: 3 TC
+ Quản trị khủng hoảng truyền thông: 3 TC
+ Marketing tới khách hàng doanh nghiệp: 3 TC""",https://hanu.edu.vn/c/7929/Truyen-thong-da-phuong-tien,
