Title,Summary,Content,URL,Contributor
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Bồ Đào Nha,Thông tin liên hệ,"""KHOA TIẾNG BỒ ĐÀO NHA
Địa chỉ:     Phòng 513 - nhà C
Điện thoại:     (84.24) 35 54 22 76
Fax:         (84.24) 38 54 45 50
Email:     bodaonha@hanu.edu.vn
Website:     http://web.hanu.vn/pt
Facebook:    Khoa tiếng Bồ Đào Nha - Hanu""",https://hanu.edu.vn/c/7917/Ngon-ngu-Bo-Dao-Nha,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Bồ Đào Nha,Giảng viên,"""- Đội ngũ giảng viên người Việt Nam trẻ, nhiệt tình, tâm huyết với nghề, đã tu nghiệp ở Bồ Đào Nha, Mô-dăm-bích;
- Các chuyên gia người Bồ Đào Nha, Braxin do Bộ Ngoại giao Bồ Đào Nha và Braxin cử sang giảng dạy;
- Nhiều diễn giả khách mời tại các xê-mi-na, hội thảo chuyên đề là đại sứ, tham tán, tuỳ viên các đại sứ quán hay giáo sư, tiến sĩ của các trường đối tác nước ngoài.""",https://hanu.edu.vn/c/7917/Ngon-ngu-Bo-Dao-Nha,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Bồ Đào Nha,Sinh viên,"""- Có cơ hội được thực tập tại Sứ quán, Lãnh sự quán các nước nói tiếng Bồ Đào Nha; các đối tác có sử dụng tiếng Bồ Đào Nha và các đối tác khác;
- Có nhiều cơ hội nhận học bổng, bao gồm: học bổng toàn phần 01 năm tại ĐH Eduardo Mondlane và ĐH Sư phạm của Mô-dăm-bích; học bổng của Viện Camões, Bồ Đào Nha hoặc học bổng Erasmus Plus trong 01 tháng, 03 tháng, 01 học kỳ hoặc 01 năm học tại Bồ Đào Nha;
- Chương trình trao đổi sinh viên 01 kỳ hoặc 01 năm theo thỏa thuận hợp tác giữa Trường Đại học Hà Nội với các trường đối tác tại Bồ Đào Nha, Braxin, Mô-dăm-bích và Macao - Trung Quốc (xem mục 3);
- Sau khi tốt nghiệp, sinh viên có thể tham gia các khóa học đào tạo chuyên sâu, đào tạo thạc sĩ, tiến sĩ tại những trường đại học hàng đầu của Bồ Đào Nha, Braxin, Mô-dăm-bích và Macao - Trung Quốc;
- Được tham gia nhiều hoạt động của Nhà trường và của khoa, được tiếp xúc thường xuyên với người bản ngữ qua các hoạt động thường niên như: Tuần lễ văn hoá các nước nói tiếng Bồ Đào Nha, các hoạt động thường xuyên của Trung tâm ngôn ngữ Bồ Đào Nha Camões, Câu lạc bộ tiếng Bồ Đào Nha cũng như hoạt động do đại sứ quán các nước nói tiếng Bồ Đào Nha tổ chức.""",https://hanu.edu.vn/c/7917/Ngon-ngu-Bo-Dao-Nha,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Bồ Đào Nha,Hợp tác quốc tế,"""Khoa có quan hệ hợp tác và thỏa thuận trao đổi giáo viên, sinh viên với:
- Đại sứ quán Braxin, Mô-dăm-bích, Ăng-gô-la, Đông Timor, Lãnh sự quán Bồ Đào Nha tại Hà Nội; Đại sứ quán Bồ Đào Nha tại Thái Lan;
- ĐH Lisbon, ĐH Porto, ĐH Coimbra, ĐH Trás-os-Montes của Bồ Đào Nha;
- ĐH Brasília, ĐH São Paulo, Viện Giáo dục Đại học Camões của Braxin;
- ĐH Eduardo Mondlane, ĐH Sư phạm của Mô-dăm-bích;
- ĐH Tổng hợp Macao, ĐH Thành phố Macao, Viện tiếng Bồ Đào Nha IPOR của Macao, Trung Quốc;
- Viện Camões Bồ Đào Nha (Viện đã mở Trung tâm Ngôn ngữ và Văn hóa Bồ Đào Nha tại Trường Đại học Hà Nội vào năm 2016).""",https://hanu.edu.vn/c/7917/Ngon-ngu-Bo-Dao-Nha,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Bồ Đào Nha,Việc làm,"""- Vị trí công việc: biên - phiên dịch viên, biên tập viên, giáo viên tiếng Bồ Đào Nha, cán bộ hợp tác quốc tế, thư ký văn phòng, trợ lý đối ngoại, trợ lý dự án, hướng dẫn viên du lịch;
- Nơi làm việc: các cơ quan, bộ ngành của chính phủ cần sử dụng tiếng Bồ Đào Nha (Bộ Ngoại giao, Bộ Công thương...); đại sứ quán và văn phòng đại diện các nước nói tiếng Bồ Đào Nha tại Việt Nam và đại sứ quán Việt Nam tại nước ngoài; các doanh nghiệp cần sử dụng tiếng Bồ Đào Nha; các văn phòng thương mại, các trung tâm ngoại ngữ; các công ty dịch vụ du lịch và lữ hành.""",https://hanu.edu.vn/c/7917/Ngon-ngu-Bo-Dao-Nha,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Bồ Đào Nha,"""Nội dung chương trình đào tạo - Thông tin chung""","""Thời gian đào tạo: 04 năm 
Ngôn ngữ giảng dạy: Tiếng Bồ Đào Nha 
Tổng số tín chỉ: 154 tín chỉ""",https://hanu.edu.vn/c/7917/Ngon-ngu-Bo-Dao-Nha,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Bồ Đào Nha,"""Nội dung chương trình đào tạo - Khối kiến thức giáo dục đại cương""","""KHỐI KIẾN THỨC GIÁO DỤC ĐẠI CƯƠNG: 41 tín chỉ (TC) Cung cấp kiến thức chung mà sinh viên cáo chương trình đại học cần biết: Triết học Mác - Lê-nin (3TC), Kinh tế chính trị Mác - Lê-nin (2TC), Chủ nghĩa xã hội khoa học (2TC), Tư tưởng Hồ Chí Minh (2TC), Lịch sử Đảng CSVN (2TC), Pháp luật đại cương (2TC), Ứng dụng công nghệ thông tin (3TC), Ngoại ngữ 2 (14TC), Giáo dục Thể chất (3TC), Giáo dục Quốc phòng (8TC).""",https://hanu.edu.vn/c/7917/Ngon-ngu-Bo-Dao-Nha,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Bồ Đào Nha,"""Nội dung chương trình đào tạo - Khối kiến thức cơ sở ngành""","""KHỐI KIỀN THỨC CƠ SỞ NGÀNH: 10 tín chỉ (TC) 
1. Bắt buộc: 08 TC 
- Nhập môn Việt ngữ học: 2 TC 
- Dẫn luận ngôn ngữ học: 2 TC
- Cơ sở văn hóa Việt Nam: 2 TC
2. Tự chọn: 04 TC - Chọn 04 trong số 10 tín chỉ của các học phần sau: Tiếng Việt trong hành chức (2TC), Văn bản tiếng Việt (2TC), Lịch sử văn minh thế giới (2TC), Hà Nội học (2TC), Dụng học Việt ngữ (2TC).""",https://hanu.edu.vn/c/7917/Ngon-ngu-Bo-Dao-Nha,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Bồ Đào Nha,"""Nội dung chương trình đào tạo - Khối kiến thức ngành""","""KHỐI KIẾN THỨC NGÀNH: 66 tín chỉ (TC) 
1. Bắt buộc: 63 TC 
- Thực hành tiếng từ trình độ A1 đến C1: 47 TC
- Phương pháp NCKH: 02 TC
- Từ pháp và Cú pháp tiêng BĐN: 03 TC
- Lịch sử và Văn hóa Bồ Đào Nha: 03 TC
- Văn học Bồ Đào Nha: 03 TC
- Ngữ âm và âm vị học tiếng BĐN: 03 TC
2. Tự chọn: 03 TC Chọn 03 trong số 12 tín chỉ của cáo học phần sau: 
- Lịch sử và Văn hóa các nước nói tiếng Bồ Đào Nha: 3TC
- Văn học Braxin: 3TC 
- Ngữ nghĩa học tiếng BĐN: 3TC 
- Ngữ dụng học tiếng BĐN: 3TC.""",https://hanu.edu.vn/c/7917/Ngon-ngu-Bo-Dao-Nha,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Bồ Đào Nha,"""Nội dung chương trình đào tạo - Khối kiến thức chuyên ngành""","""KHỐI KIỀN THỨC CHUYÊN NGÀNH: 
Định hướng Biên - Phiên dịch (28 tín chỉ) 
1. Bắt buộc: 24 TC 
- Nhập môn Biên - Phiên dịch: 02 TC
- Biên dịch từ cơ bản đến nâng cao: 09 TC
- Phiên dịch từ cơ bản đến nâng cao: 09 TC
- Chuyên đề dịch: 02 TC
- Lược dịch - Dịch tổng hợp văn bản: 02 TC
2. Tự chọn: 04 TC - Chọn 04 trong số 10 tín chỉ của các học phần sau: 
- Phân tích diễn ngôn: 2TC 
- Hiệu đính và biên tập văn bản dịch: 2TC
- Mô phỏng phiên dịch tháp tùng: 2TC 
- Mô phỏng phiên dịch hội thảo: 2TC 
- Kỹ năng mềm và kiến thức bổ trợ: 2TC""",https://hanu.edu.vn/c/7917/Ngon-ngu-Bo-Dao-Nha,
