Title,Summary,Content,URL,Contributor
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Italia,Thông tin liên hệ,"""KHOA TIẾNG ITALIA
Địa chỉ: Phòng 316 - Nhà C; Điện thoại: (84.24) 35541795; 
E-mail: ita@hanu.vn; Website: http://ita.hanu.vn/; Facebook : https://www.facebook.com/ItaHanu""",https://hanu.edu.vn/c/7919/Ngon-ngu-Italia,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Italia,Trình độ đào tạo,"""- Cử nhân Ngôn ngữ Italia – hệ chính quy.
- Chương trình đào tạo cử nhân song bằng với các trường ĐH của Italia.
- Khóa học tiếng Italia ngắn hạn.""",https://hanu.edu.vn/c/7919/Ngon-ngu-Italia,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Italia,Giảng viên,"""- 15 giảng viên biên chế và thỉnh giảng (02 giảng viên người Italia);
- Phần lớn giảng viên người Việt Nam được đào tạo ở bậc ĐH và sau ĐH tại Cộng hòa Italia;
- Giảng viên biệt phái từ Bộ Ngoại giao và Hợp tác Quốc tế Italia.""",https://hanu.edu.vn/c/7919/Ngon-ngu-Italia,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Italia,Sinh viên,"""- Quy mô hiện tại: 450 sinh viên.
- CLB sinh viên: Ban truyền thông  La Voce ItaHanu, CLB Nói tiếng Ý La Chiacchiera, CLB Yêu sách CAL, CLB Điện ảnh Ý Cineforum.
- Hoạt động ngoại khóa: Kỷ niệm Quốc khánh nước CH Italia, Tuần lễ Văn hóa – Ngôn ngữ Italia ở Việt Nam, Hội thảo hướng nghiệp, Tọa đàm chuyên đề, chuỗi Hội thảo với Doanh nghiệp và Nhà Ngoại giao Italia (CCIDI), chuyến khảo sát thực địa (dịch thuật, du lịch), chuyến thăm thực tế doanh nghiệp…""",https://hanu.edu.vn/c/7919/Ngon-ngu-Italia,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Italia,"""Học bổng, học chuyển tiếp tại Trung Quốc""","""- Học bổng của Nhà trường cho sinh viên có thành tích học tập tốt hoặc sinh viên thuộc diện chính sách;
- Học bổng toàn phần của Chương trình Erasmus+ châu Âu và của Bộ Ngoại giao Italia;
- Học bổng bán phần cho các khoá học ngắn hạn (01 - 02 tháng) hoặc dài hạn (12 tháng);
- Học bổng của các trường ĐH đối tác ở Italia;
- Các chương trình học chuyển tiếp, ngành phụ, song bằng tại các trường ĐH đối tác ở Italia.""",https://hanu.edu.vn/c/7919/Ngon-ngu-Italia,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Italia,Việc làm,"""- Nhiều cơ hội thăm quan, thực tập trong năm học: Diễn đàn Doanh nghiệp Việt Nam - Italia, Phòng Thương mại Công nghiệp Italia tại Việt Nam, doanh nghiệp Italia tại Việt Nam (Piaggio, Ariston Thermo, Dệt nhuộm Hưng Yên), công ty/ đại lý du lịch (Asiatica, Easia, Hanutour...), VTC, nhà xuất bản/ công ty phát hành sách (Kim Đồng, Tao Đàn…)
- Vị trí công việc: giảng viên, biên dịch, phiên dịch, biên tập viên, trợ lý dự án, hướng dẫn viên du lịch, nhân viên kinh doanh và điều hành tại các công ty du lịch...
- Đơn vị sử dụng lao động: ĐSQ Italia tại Hà Nội, Bộ Ngoại giao Việt Nam; các tổ chức phi chính phủ, doanh nghiệp có vốn đầu tư của Italia và các doanh nghiệp sử dụng tiếng Italia; các ngân hàng, dự án đầu tư, văn phòng đại diện thương mại, công ty du lịch lữ hành; các cơ sở giáo dục ĐH và trung tâm đào tạo ngôn ngữ Italia...""",https://hanu.edu.vn/c/7919/Ngon-ngu-Italia,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Italia,"""Nội dung chương trình đào tạo - Thông tin chung""","""Thời gian đào tạo: 04 năm 
Ngôn ngữ giảng dạy: Tiếng Italia 
Định hướng Biên - Phiên dịch: 154 tín chỉ 
Định hướng Du lịch: 154 tín chỉ""",https://hanu.edu.vn/c/7919/Ngon-ngu-Italia,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Italia,"""Nội dung chương trình đào tạo - Khối kiến thức giáo dục đại cương""","""KHÔI KIÊN THỨC GIÁO DỤC ĐẠI CƯƠNG: 41 tín chỉ (TC) Cung cấp kiến thức mà sinh viên các chương trình đại học cần biết: Triết học Mác - Lê-nin (3TC), Kinh tế chính trị Mác - Lê-nin (2TC), Chủ nghĩa xã hội khoa học (2TC), Tư tưởng Hồ Chí Minh (2TC), Lịch sử Đảng Cộng sản Việt Nam (2TC), Pháp luật đại cương (2TC), Ứng dụng công nghệ thông tin (3TC), Ngoại ngữ 2 (14TC), Giáo dục Thể chất (3TC), Giáo dục Quốc phòng (8TC).""",https://hanu.edu.vn/c/7919/Ngon-ngu-Italia,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Italia,"""Nội dung chương trình đào tạo - Khối kiến thức cơ sở ngành""","""KHỐI KIỀN THỨC CƠ SỞ NGÀNH: 12 tín chỉ (TC)
1. Bắt buộc: 8 TC
- Nhập môn Việt ngữ học: 2 TC
- Dẫn luận ngôn ngữ học: 2 TC
- Cơ sở văn hóa Việt Nam: 2 TC
- Phương pháp NCKH: 2 TC
2. Tự chọn: 4 TC - Chọn 4 trong số 10 tín chỉ của các học phần sau: Tiếng Việt trong hành chức (2TC), Văn bản tiếng Việt (2TC), Lịch sử văn minh thế giới (2TC), Hà Nội học (2TC), Dụng học Việt ngữ (2TC).""",https://hanu.edu.vn/c/7919/Ngon-ngu-Italia,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Italia,"""Nội dung chương trình đào tạo - Khối kiến thức ngành""","""KHỐI KIỀN THỨC NGÀNH: 68 tín chỉ (TC)
1. Bắt buộc: 61 TC
- Thực hành tiếng từ trình độ A1 đến C1: 44 TC
- Ngôn ngữ học Italia 1: 04 TC
- Ngôn ngữ học Italia 2: 04 TC
- Địa lý và Lịch sử Italia: 02 TC
- Văn hóa và Văn minh Italia: 02 TC
- Ngôn ngữ học đối chiếu: 02 TC
- Văn học Italia: 03 TC
2. Tự chọn: 04 TC - Chọn 4 trong số 8 tín chỉ của các học phần sau:
- Phân tích văn bản: 02 TC
- Phân tích diễn ngôn: 02 TC
- Tiếng Italia Thương mại: 02 TC
- Tiếng Italia Pháp luật: 02 TC""",https://hanu.edu.vn/c/7919/Ngon-ngu-Italia,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Italia,"""Nội dung chương trình đào tạo - Khối kiến thức chuyên ngành""","""KHỐI KIẾN THỨC CHUYÊN NGÀNH:
1. Định hướng Biên - Phiên dịch (27 tín chỉ)
1.1. Bắt buộc: 21 TC
- Nhập môn Biên-Phiên dịch: 03 TC 
- Phiên dịch nâng cao: 03 TC 
- Biên dịch cơ bản: 03 TC
- Lược dịch: 02 TC 
- Phiên dịch cơ bản: 03 TC 
- Dịch chuyên đề Kinh tế 
- Thương mại: 02 TC 
- Biên dịch nâng cao: 03 TC 
- Đánh giá, hiệu đính bản dịch: 02 TC
1.2. Tự chọn: 06 TC - Chọn 6 trong số 12 tín chỉ của các học phần sau: Ứng dụng công nghệ trong dịch thuật (2TC), Dịch chuyên đề Văn học và Điện ảnh (2TC), Mô phỏng dịch hội thảo (2TC), Nhập môn du lịch (3TC), Marketing du lịch (3TC)  
2. Định hướng Du lịch (27 tín chỉ)
2.1. Bắt buộc: 21 TC
- Nhập môn Du lịch: 03 TC
- Tiêng Italia Du lịch 1: 04 TC
- Tiêng Italia Du lịch 2: 04 TC
- Marketing Du lịch: 03 TC
- Địa lý du lịch: 03 TC
- Du lịch qua hình ảnh: 02 TC
- Du lịch bên vững: 02 TC
2.2. Tự chọn: 06 TC
Chọn 6 trong số 12 tín chỉ của các học phần sau: Nghiệp vụ hướng dẫn du lịch (2TC), Nghiệp vụ văn phòng du lịch (2TC), Nhập môn Biên - Phiên dịch (3TC), Biên dịch cơ bản (3TC), Du lịch và Văn hóa (2TC).""",https://hanu.edu.vn/c/7919/Ngon-ngu-Italia,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Italia,"""Nội dung chương trình đào tạo - Thực tập và khóa luận tốt nghiệp""","""THỰC TẬP VÀ KHÓA LUẬN TỐT NGHIỆP: 9 tín chỉ (TC) 
- Thực tập: 3 TC 
- Khóa luận tốt nghiệp (hoặc học phần thay thế): 6 TC""",https://hanu.edu.vn/c/7919/Ngon-ngu-Italia,
