Title,Summary,Content,URL,Contributor
Chương trình đào tạo cử nhân hệ chính quy ngành Quản trị Dịch vụ Du lịch và Lữ hành,Thông tin chung,"""Khoa đào tạo chính quy đầu tiên ở Việt Nam có 100% các môn chuyên ngành giảng dạy bằng tiếng Anh theo chương trình, giáo trình chuẩn quốc tế của các nước Anh, Ô-xtrây-li-a, Hoa Kỳ. Bên cạnh đó, Khoa còn tổ chức đào tạo một số chứng chỉ hành nghề quốc tế trong lĩnh vực kế toán, kiểm toán và phân tích tài chính như ACCA và CFA.""",https://hanu.edu.vn/c/7924/Quan-tri-Dich-vu-Du-lich-va-Lu-hanh,
Chương trình đào tạo cử nhân hệ chính quy ngành Quản trị Dịch vụ Du lịch và Lữ hành,Giới thiệu chương trình đào tạo,"""Cung cấp cho sinh viên kiến thức chuyên sâu và toàn diện về quản trị du lịch, khả năng nhận biết được xu thế chính, các yếu tố tác động đối với tổ chức/doanh nghiệp trong ngành dịch vụ du lịch, phát triển năng lực phân tích đánh giá tính hiệu quả của hoạt động du lịch và giải quyết các vấn đề vận hành và chiến lược cùng các năng lực nghề nghiệp đa dạng, giúp cho sinh viên đáp ứng tốt với đòi hỏi khắt khe của thị trường nhân lực ngành du lịch trong nước và khu vực.""",https://hanu.edu.vn/c/7924/Quan-tri-Dich-vu-Du-lich-va-Lu-hanh,
Chương trình đào tạo cử nhân hệ chính quy ngành Quản trị Dịch vụ Du lịch và Lữ hành,Giảng viên,"""- Trên 90% giảng viên có bằng thạc sĩ và tiến sĩ của các trường đại học quốc tế có uy tín của Vương Quốc Anh, Ô-xtrây-li-a, Hoa Kỳ, Ca-na-da và Châu Âu.
- Có kinh nghiệm giảng dạy tại các chương trình của các đại học nước ngoài (ĐH La Trobe, ĐH IMC Krems, ĐH Oxford Brookes, ĐH RMIT Hà Nội, ĐH Portland State, ĐH Pavia, ĐH Ca' Foscari Venice).
- Đội ngũ giảng viên thỉnh giảng là những nhà quản lý, tư vấn, chuyên gia kinh tế, chuyên gia tài chính của các tổ chức, doanh nghiệp, tập đoàn lớn trong nước và quốc tế; có uy tín chuyên môn và kinh nghiệm thực tế để triển khai hoạt động hướng nghiệp và phát triển nghề nghiệp.""",https://hanu.edu.vn/c/7924/Quan-tri-Dich-vu-Du-lich-va-Lu-hanh,
Chương trình đào tạo cử nhân hệ chính quy ngành Quản trị Dịch vụ Du lịch và Lữ hành,Học bổng,"""- Học bổng toàn phần hoặc bán phần của Trường ĐH Hà Nội dành cho các sinh viên học giỏi; miễn giảm học phí cho các sinh viên thuộc diện chính sách.
- Nhiều cơ hội nhận học bổng từ các doanh nghiệp, quỹ học bổng (Lotte, Nguyễn Trường Tộ), các cơ quan, đại diện ngoại giao (Đại sứ quán Hoa Kỳ) tại Việt Nam.
- Cơ hội tham gia nhiều chương trình liên thông quốc tế hoặc trao đổi học tập từ 06 tháng đến 01 năm tại các trường đối tác tại Vương Quốc Anh, Ý, Bỉ, Ô-xtrây-li-a, Niu Di-Lân, Nhật Bản, Hàn Quốc, Thái Lan.
- Cơ hội tham gia thực tế vào các dự án phát triển du lịch quan trọng của Việt Nam tại Hà Nội, Vịnh Hạ Long, đảo Cát Bà, Vườn quốc gia Bái Tử Long, Sapa, Khu di sản hỗn hợp Tràng An, hệ thống hang động Phong Nha – Kẻ Bàng, Cố đô Huế, thành phố du lịch năng động Đà Nẵng, di sản phố cổ Hội An, thiên đường du lịch biển Nha Trang, Mũi Né, Phú Quốc.
- Cơ hội tham quan học tập tại các khách sạn 5 sao như: Intercontinental, Sofitel Plaza, Hilton Hanoi Opera, Vinpearl và các công ty lữ hành hàng đầu như: Công ty du lịch Exotissimo, Hanoi Redtours, mạng du lịch Ivivu, hãng GDS Abacus.
- Cơ hội thực tập tại Hoa Kỳ và Châu Âu""",https://hanu.edu.vn/c/7924/Quan-tri-Dich-vu-Du-lich-va-Lu-hanh,
Chương trình đào tạo cử nhân hệ chính quy ngành Quản trị Dịch vụ Du lịch và Lữ hành,Việc làm,"""Với phương châm đào tạo linh hoạt, tiên tiến, gắn liền với thực tiễn và nhu cầu xã hội, sinh viên ngành Du lịch khi tốt nghiệp sẽ tự tin đầu quân cho các doanh nghiệp, các cơ quan quản lý du lịch, các tổ chức nghề nghiệp du lịch hoặc khởi nghiệp trong lĩnh vực kinh doanh du lịch.""",https://hanu.edu.vn/c/7924/Quan-tri-Dich-vu-Du-lich-va-Lu-hanh,
Chương trình đào tạo cử nhân hệ chính quy ngành Quản trị Dịch vụ Du lịch và Lữ hành,"""Nội dung chương trình đào tạo - Thông tin chung""","""Thời gian đào tạo: 04 năm
Tổng số tín chỉ: 150 tín chỉ
Chương trình giảng dạy bằng tiếng Anh""",https://hanu.edu.vn/c/7924/Quan-tri-Dich-vu-Du-lich-va-Lu-hanh,
Chương trình đào tạo cử nhân hệ chính quy ngành Quản trị Dịch vụ Du lịch và Lữ hành,"""Nội dung chương trình đào tạo - Khối kiến thức giáo dục đại cương""","""KHỐI KIẾN THỨC GIÁO DỤC ĐẠI CƯƠNG: 72 tín chỉ (TC)
Cung cấp kiến thức chung mà sinh viên các chương trình đại học cần biết: Triết học Mác - Lê-nin (3TC), Kinh tế chính trị Mác - Lê-nin (2TC), Chủ nghĩa xã hội khoa học (2TC), Tư tưởng Hồ Chí Minh (2TG), Lịch sử Đảng CSVN (2TC), Pháp luật đại cương (2TC), Ứng dụng công nghệ thông tin (3TC), Lược sử văn hóa Việt Nam (3TC), Thực hành tiếng A2 - B2 (42TC), Giáo dục Thể chất (3TC), Giáo dục quốc phòng - An ninh (8TC).""",https://hanu.edu.vn/c/7924/Quan-tri-Dich-vu-Du-lich-va-Lu-hanh,
Chương trình đào tạo cử nhân hệ chính quy ngành Quản trị Dịch vụ Du lịch và Lữ hành,"""Nội dung chương trình đào tạo - Khối kiến thức cơ sở ngành""","""KHỐI KIẾN THỨC CƠ SỞ NGÀNH: 27 tín chỉ (TC)
Cung cấp kiến thức nền tảng và các định hướng nghề nghiệp liên quan:
1. Bắt buộc: 21 TC
- Toán cao cấp và ứng dụng trong kinh tế - kinh doanh: 3TC
- Xác suất và thống kê: 3TC
- Kinh tế vi mô: 3TC
- Kinh tế vĩ mô: 3TC
- Quản trị học: 3TC
- Nguyên lý Marketing: 3TC
- Phương pháp nghiên cứu trong Kinh doanh: 3TC
2. Tự chọn: 6 TC - Chọn 6 trong số 15 tín chỉ của các học phần sau:
- Đạo đức kinh doanh: 3TC
- Kế toán du lịch khách sạn: 3TC
- Kinh tế du lịch: 3TC
- Mô hình kinh doanh: 3TC
- Bền vững trong Kinh doanh: 3TC.""",https://hanu.edu.vn/c/7924/Quan-tri-Dich-vu-Du-lich-va-Lu-hanh,
Chương trình đào tạo cử nhân hệ chính quy ngành Quản trị Dịch vụ Du lịch và Lữ hành,"""Nội dung chương trình đào tạo - Khối kiến thức chuyên ngành""","""KHỐI KIẾN THỨC CHUYÊN NGÀNH: 36 tín chỉ (TC)
1. Bắt buộc: 21 TC
- Nhập môn du lịch: 3TC
- Quản trị khách sạn: 3TC
- Quản trị lữ hành: 3TC
- Marketing du lịch: 3TC
- Địa lý du lịch: 3TC
- Du lịch bền vững: 3TC
- Pháp luật du lịch: 3TC
2. Tự chọn: Chọn 15 tín chỉ (12TC đối với sinh viên làm khóa luận) của các học phần sau:
- Hành vi khách du lịch: 3TC 
- Học tập thực địa: 3TC
- Quản trị sự kiện: vc 
- Quản trị nhà hàng: 3TC
- Marketing điểm đến: 3TC 
- Hệ thống đặt giữ chỗ: 3TC
- Quy hoạch du lịch: 3TC 
- Marketing kỹ thuật số trong Du lịch: 3TC
- Khởi nghiệp kinh doanh du lịch: 3TC 
- Quản trị dự án du lịch 3TC
- Phát triển sản phẩm du lịch: 3TC
- Quản trị nhân sự: 3TC""",https://hanu.edu.vn/c/7924/Quan-tri-Dich-vu-Du-lich-va-Lu-hanh,
Chương trình đào tạo cử nhân hệ chính quy ngành Quản trị Dịch vụ Du lịch và Lữ hành,"""Nội dung chương trình đào tạo - Khối kiến thức bổ trợ""","""KHỐI KIẾN THỨC BỔ TRỢ:
Chọn 12TC (6TC đối với sinh viên làm khóa luận) trong các học phần sau:
Ngành Quản trị DVDL&LH:
- Điều hành tour: 3TC
- Các thị trường du lịch quốc tế: 3TC
- Quản lý vận chuyển: 3TC
- Nghiệp vụ hướng dẫn du lịch: 3TG
- Du lịch chuyên đề: 3TC
- Du lịch di sản: 3TC
- Quản lý chất lượng dịch vụ: 3TC
- Quản lý doanh số: 3TC
- Quản trị buồng phòng: 3TC
- Du lịch M.I.C.E: 3TC.
Ngành Quản trị kinh doanh:
- Giao tiếp trong kinh doanh: 3TC
- Lãnh đạo trong doanh nghiệp: 3TC
- Quản trị kinh doanh quốc tế: 3TC
- Hành vi tổ chức: 3TC
- Quản trị chiến lược: 3TC
- Quản trị tài chính: 3TC
- Nhập môn vận trù học: 3TC.
NGÀNH MARKETING:
- Marketing kỹ thuật số: 3TC
- Marketing dịch vụ: 3TC
- Nghiên cứu Marketing: 3TC
- Marketing quốc tế: 3TC
- Xây dựng và quản trị thương hiệu: 3TC
- Marketing tới khách hàng doanh nghiệp: 3TC
Dự án Tốt nghiệp: 6 tín chỉ (TC)""",https://hanu.edu.vn/c/7924/Quan-tri-Dich-vu-Du-lich-va-Lu-hanh,
