Title,Summary,Content,URL,Contributor
Chương trình đào tạo cử nhân hệ chính quy ngành Kế toán,Thông tin chung,"""Khoa đào tạo chính quy đầu tiên ở Việt Nam có 100% các môn chuyên ngành giảng dạy bằng tiếng Anh theo chương trình, giáo trình chuẩn quốc tế của các nước Anh, Ô-xtrây-li-a, Hoa Kỳ. Bên cạnh đó, Khoa còn tổ chức đào tạo một số chứng chỉ hành nghề quốc tế trong lĩnh vực kế toán, kiểm toán và phân tích tài chính như ACCA và CFA.""",https://hanu.edu.vn/c/7922/Ke-toan,
Chương trình đào tạo cử nhân hệ chính quy ngành Kế toán,Giới thiệu chương trình đào tạo,"""- Cung cấp kiến thức chuyên sâu về kế toán, kiểm toán, thuế và phân tích tài chính, trang bị khả năng thực hành các nghiệp vụ kế toán, phát triển năng lực nghề nghiệp đa dạng giúp cho sinh viên đáp ứng tốt với đòi hỏi khắt khe của thị trường nhân lực ngành kế toán trong nước và quốc tế.
- Chương trình có tính thực tiễn cao dựa trên mối quan hệ với đối tác là các doanh nghiệp trong lĩnh vực kế toán, gồm các công ty thuộc Big 4 (Ernst & Young, PwC, KPMG, và Deloitte).
- Chương trình được các trường đại học và nhiều tổ chức hành nghề nước ngoài (ACCA, CIMA, CPA Australia) công nhận.
- Tiếp cận chuẩn mực quốc tế (IFRS, USGAAP).""",https://hanu.edu.vn/c/7922/Ke-toan,
Chương trình đào tạo cử nhân hệ chính quy ngành Kế toán,Giảng viên,"""- Trên 90% giảng viên có bằng thạc sĩ và tiến sĩ của các trường đại học quốc tế có uy tín của Vương Quốc Anh, Ô-xtrây-li-a, Hoa Kỳ, Ca-na-da và Châu Âu.
- Có kinh nghiệm giảng dạy tại các chương trình của các đại học nước ngoài (ĐH La Trobe, ĐH IMC Krems, ĐH Oxford Brookes, ĐH RMIT Hà Nội, ĐH Portland State, ĐH Pavia, ĐH Ca' Foscari Venice).
- Đội ngũ giảng viên thỉnh giảng là những nhà quản lý, tư vấn, chuyên gia kinh tế, chuyên gia tài chính của các tổ chức, doanh nghiệp, tập đoàn lớn trong nước và quốc tế; có uy tín chuyên môn và kinh nghiệm thực tế.""",https://hanu.edu.vn/c/7922/Ke-toan,
Chương trình đào tạo cử nhân hệ chính quy ngành Kế toán,Học bổng,"""- Học bổng toàn phần hoặc bán phần của Trường ĐH Hà Nội cho các sinh viên học giỏi; miễn giảm học phí cho các sinh viên thuộc diện chính sách.
- Nhiều cơ hội nhận học bổng từ các doanh nghiệp, quỹ học bổng (Lotte, Nguyễn Trường Tộ), các cơ quan, đại diện ngoại giao (Đại sứ quán Hoa Kỳ) tại Việt Nam.
- Học bổng đi học tại châu Âu trong 01 kỳ hoặc 01 năm với các dự án của Erasmus Plus Mobility.
- Sinh viên có cơ hội học trao đổi hoặc chuyển tiếp tại các trường ĐH danh tiếng khi học hết năm thứ 2 hoặc năm thứ 3. Một số trường đại học đối tác tiếp nhận sinh viên bao gồm Trường ĐH Albany SUNY (Hoa Kỳ), Trường ĐH Waikato (Niu Di-lân), Trường ĐH Công nghệ Auckland (Niu Di-lân), Trường ĐH Westminster (Anh), Trường ĐH Sheffield Hallam (Anh), Trường ĐH Quốc gia Kangnung (Hàn Quốc).""",https://hanu.edu.vn/c/7922/Ke-toan,
Chương trình đào tạo cử nhân hệ chính quy ngành Kế toán,Việc làm,"""Với phương châm đào tạo linh hoạt, gắn liền với thực tiễn và nhu cầu xã hội, sinh viên ngành Kế toán khi tốt nghiệp sẽ tự tin đầu quân cho các doanh nghiệp trong nước và quốc tế trong lĩnh vực kế toán, kiểm toán hoặc phụ trách nghiệp vụ kế toán tại các doanh nghiệp thuộc nhiều lĩnh vực, ngành nghề hoạt động khác nhau.
Theo các điều tra trước khi ra trường, trên 80% sinh viên có việc làm phù hợp ngay trong kỳ thực tập và 97% có việc làm sau khi tốt nghiệp với mức lương sau tốt nghiệp từ 8 - 10 triệu đồng.""",https://hanu.edu.vn/c/7922/Ke-toan,
Chương trình đào tạo cử nhân hệ chính quy ngành Kế toán,"""Nội dung chương trình đào tạo - Thông tin chung""","""Thời gian đào tạo: 04 năm 
Tổng số tín chỉ: 147 tín chỉ
Chương trình giảng dạy bằng tiếng Anh
Liên kết với các tổ chức nghê nghiệp: Association of Chartered Certified Accountants (ACCA).""",https://hanu.edu.vn/c/7922/Ke-toan,
Chương trình đào tạo cử nhân hệ chính quy ngành Kế toán,"""Nội dung chương trình đào tạo - Khối kiến thức giáo dục đại cương""","""KHỐI KIẾN THỨC GIÁO DỤC ĐẠI CƯƠNG: 69 tín chỉ (TC) Cung cấp kiến thức chung mà sinh viên các chương trình đại học cần biết: Triết học Mác - Lê-nin (3TC), Kinh tế chính trị Mác - Lê-nin (2TC), Chủ nghĩa xã hội khoa học (2TC), Tư tưởng Hồ Chí Minh (2TC), Lịch sử Đảng CSVN (2TC), Pháp luật đại cương (2TC), Ứng dụng công nghệ thông tin (3TC), Thực hành tiếng A2 đến B2 (42TC), Giáo dục Thể chất (3TC), Giáo dục quốc phòng - An ninh (8TC).""",https://hanu.edu.vn/c/7922/Ke-toan,
Chương trình đào tạo cử nhân hệ chính quy ngành Kế toán,"""Nội dung chương trình đào tạo - Khối kiến thức cơ sở ngành""","""KHỐI KIẾN THỨC CƠ SỞ NGÀNH: 27 tín chỉ (TC)
Cung cấp kiến thức nền tảng và các định hướng nghề nghiệp liên quan:
1. Bắt buộc: 27 TC
- Toán cao cấp và ứng dụng trong kinh tế - kinh doanh: 3TC
- Xác suất và thống kê: 3TC
- Kinh tế vi mô: 3TC
- Kinh tế vĩ mô: 3TC
- Quản trị học: 3TC
- Quản trị tài chính: 3TC
- Luật Kinh tế: 3TC
2. Tự chọn: 6 TC - Chọn 6 trong số 18 tín chỉ của các học phần sau:
- Thống kê ứng dụng trong kinh doanh và kinh tế: 3TC
- Đạo đức kinh doanh: 3TC
- Kinh tế lượng: 3TC
- Lý́ thuyết tài chính tiền tệ: 3TC
- Nguyên lý Marketing: 3TC
- Phương pháp nghiên cứu trong kinh doanh: 3TC""",https://hanu.edu.vn/c/7922/Ke-toan,
Chương trình đào tạo cử nhân hệ chính quy ngành Kế toán,"""Nội dung chương trình đào tạo - Khối kiến thức chuyên ngành""","""KHỐI KIẾN THỨC CHUYÊN NGÀNH: 36 tín chỉ (TC)
1. Bắt buộc: 27 TC
- Nguyên lý kế toán: 3TC
- Kế toán tài chính 1: 3TC
- Kế toán tài chính 2: 3TC
- Kế toán quản trị: 3TC
- Kiểm toán và dịch vụ bảo đảm: 3TC
- Phân tích báo cáo tài chính: 3TC
- Kế toán tài chính nâng cao: 3TC
- Kế toán doanh nghiệp Việt Nam: 3TC
- Thuế: 3TC
2. Tự chọn: 15 TC - Chọn trong số 18 tín chỉ của các học phần sau:
- Kế toán quản trị nâng cao: 3TC 
- Kế toán quốc tế: 3TC
- Kiểm toán báo cáo tài chính: 3TC 
- Phân tích và định giá doanh nghiệp: 3TC 
- Kế toán máy: 3TC 
- Phân tích dữ liệu trong Kế toán: 3TC""",https://hanu.edu.vn/c/7922/Ke-toan,
Chương trình đào tạo cử nhân hệ chính quy ngành Kế toán,"""Nội dung chương trình đào tạo - Khối kiến thức bổ trợ""","""KHỐI KIỀN THỨC BỒ TRỢ:
Chọn 12 TC (6 TC đối với sinh viên làm khóa luận tốt nghiệp) trong các học phần sau:
NGÀNH KẾ TOÁN:
- Kế toán công: 3TC
- Các vấn đề về kế toán đương đại: 3TC
- Hệ thống kiểm soát quản trị: 3TC
- Hệ thống kiểm soát quản trị: 3TC
NGÀNH TÀI CHÍNH - NGÂN HÀNG:
- Mô hình tài chính: 3TC
- Quản trị ngân hàng: 3TC
- Hệ thống tài chính: 3TC
- Tài chính doanh nghiệp: 3TC
- Tài chính quốc tế: 3TC
- Kế hoạch tài chính: 3TC
NGÀNH QUẢN TRỊ KINH DOANH:
- Quản trị nhân sự: 3TC 
- Quản trị kinh doanh quốc tế: 3TC
- Giao tiếp trong kinh doanh: 3TC
- Hành vi tổ chức: 3TC.
- Lãnh đạo trong doanh nghiệp: 3TC
NGÀNH MARKETING:
- Marketing dịch vụ: 3TC 
- Xây dựng và quản trị thương hiệu: 3TC
- Marketing kỹ thuật số: 3TC
DỰ ÁN TỐT NGHIỆP:
- Dự án tốt nghiệp: 6TC
- Chuẩn mực báo cáo tài chính Quốc tế: 6TC.""",https://hanu.edu.vn/c/7922/Ke-toan,
