Title,Summary,Content,URL,Contributor
Chương trình đào tạo cử nhân hệ chính quy ngành Tài chính - Ngân hàng,Thông tin chung,"""Khoa đào tạo chính quy đầu tiên ở Việt Nam có 100% các môn chuyên ngành giảng dạy bằng tiếng Anh theo chương trình, giáo trình chuẩn quốc tế của các nước Anh, Ô-xtrây-li-a, Hoa Kỳ. Bên cạnh đó, Khoa còn tổ chức đào tạo một số chứng chỉ hành nghề quốc tế trong lĩnh vực kế toán, kiểm toán và phân tích tài chính như ACCA và CFA.""",https://hanu.edu.vn/c/7923/Tai-chinh-Ngan-hang,
Chương trình đào tạo cử nhân hệ chính quy ngành Tài chính - Ngân hàng,Giới thiệu chương trình đào tạo,"""- Chương trình cung cấp kiến thức nền tảng về hệ thống tài chính và ngân hàng, xây dựng các kỹ năng đánh giá và phân tích tài chính, phát triển năng lực nghề nghiệp đa dạng giúp cho sinh viên đáp ứng tốt với đòi hỏi khắt khe của thị trường nhân lực ngành tài chính ngân hàng trong nước và quốc tế.
- Chương trình được kiểm định và công nhận bởi các tổ chức hành nghề quốc tế như: Viện Phân tích Tài chính Hoa Kỳ (CFA Institute), Hiệp hội Kế toán Công chứng Anh Quốc (ACCA), và Hiệp hội Kế toán viên Công chứng Ô-xtrây-li-a (CPA Australia).""",https://hanu.edu.vn/c/7923/Tai-chinh-Ngan-hang,
Chương trình đào tạo cử nhân hệ chính quy ngành Tài chính - Ngân hàng,Giảng viên,"""- Trên 90% giảng viên có bằng thạc sĩ và tiến sĩ từ các trường đại học quốc tế có uy tín của Vương Quốc Anh, Ô-xtrây-li-a, Hoa Kỳ, Ca-na-da và Châu Âu.
- Có kinh nghiệm giảng dạy tại các chương trình của các đại học nước ngoài (ĐH La Trobe, ĐH IMC Krems, ĐH Oxford Brookes, ĐH RMIT Hà Nội, ĐH Portland State, ĐH Pavia, ĐH Ca' Foscari Venice).
- Đội ngũ giảng viên thỉnh giảng là những nhà quản lý, tư vấn, chuyên gia kinh tế, chuyên gia tài chính của các tổ chức, doanh nghiệp, tập đoàn lớn trong nước và quốc tế; có uy tín chuyên môn và kinh nghiệm thực tế để triển khai hoạt động hướng nghiệp và phát triển nghề nghiệp.""",https://hanu.edu.vn/c/7923/Tai-chinh-Ngan-hang,
Chương trình đào tạo cử nhân hệ chính quy ngành Tài chính - Ngân hàng,Học bổng,"""- Học bổng toàn phần hoặc bán phần của Trường ĐH Hà Nội dành cho các sinh viên học giỏi; miễn giảm học phí cho các sinh viên thuộc diện chính sách.
- Nhiều cơ hội nhận học bổng từ các doanh nghiệp, quỹ học bổng (Lotte, Nguyễn Trường Tộ), các cơ quan, đại diện ngoại giao (Đại sứ quán Hoa Kỳ) tại Việt Nam.
- Chương trình có liên kết cùng Viện Phân tích Tài chính Hoa Kỳ cấp học bổng cho sinh viên tham gia thi chứng chỉ hành nghề chuyên nghiệp quốc tế của Viện.""",https://hanu.edu.vn/c/7923/Tai-chinh-Ngan-hang,
Chương trình đào tạo cử nhân hệ chính quy ngành Tài chính - Ngân hàng,Việc làm,"""Với chương trình tiên tiến được thực hiện theo tiêu chuẩn quốc tế và đội ngũ giảng viên có trình độ năng lực và tâm huyết với đào tạo, sinh viên tốt nghiệp các ngành luôn đáp ứng tốt nhu cầu tuyển dụng của doanh nghiệp. Theo các điều tra trước khi ra trường, trên 80% sinh viên có việc làm phù hợp ngay trong kỳ thực tập và 97% có việc làm sau khi tốt nghiệp với mức lương từ 8 - 10 triệu đồng.""",https://hanu.edu.vn/c/7923/Tai-chinh-Ngan-hang,
Chương trình đào tạo cử nhân hệ chính quy ngành Tài chính - Ngân hàng,"""Nội dung chương trình đào tạo - Thông tin chung""","""Thời gian đào tạo: 04 năm 
Tổng số tín chỉ: 147 tín chỉ
Chương trình giảng dạy bằng tiếng Anh
Liên kết với các tổ chức nghề nghiệp: Chartered Financial Analyst (CFA) Institute""",https://hanu.edu.vn/c/7923/Tai-chinh-Ngan-hang,
Chương trình đào tạo cử nhân hệ chính quy ngành Tài chính - Ngân hàng,"""Nội dung chương trình đào tạo - Khối kiến thức giáo dục đại cương""","""KHỐI KIỀN THỨC GIÁO DỤC ĐẠI CƯƠNG: 69 tín chỉ (TC)
Cung cấp kiến thức chung mà sinh viên các chương trình đại học cần biết: Triết học Mác - Lê-nin (3TC), Kinh tế chính trị Mác - Lê-nin (2TC), Chủ nghĩa xã hội khoa học (2TC), Tư tưởng Hồ Chí Minh (2TC), Lịch sử Đảng CSVN (2TC), Pháp luật đại cương (2TC), Ứng dụng công nghệ thông tin (3TC), Thực hành tiếng A2 — B2 (42TC), Giáo dục Thể chất (3TC), Giáo dục quốc phòng - An ninh (8TC).""",https://hanu.edu.vn/c/7923/Tai-chinh-Ngan-hang,
Chương trình đào tạo cử nhân hệ chính quy ngành Tài chính - Ngân hàng,"""Nội dung chương trình đào tạo - Khối kiến thức cơ sở ngành""","""KHỐI KIẾN THỨC CƠ SỞ NGÀNH: 27 tín chỉ (TC)
1. Bắt buộc: 21 TC
- Toán cao cấp và ứng dụng trong kinh tế - kinh doanh: 3TC
- Thống kê ứng dụng trong kinh doanh và kinh tế: 3TC
- Xác suất và thống kê: 3TC 
- Nguyên lý kế toán: 3TC
- Kinh tế vi mô: 3TC 
- Kinh tế lượng: 3TC
- Kinh tế vĩ mô: 3TC
2. Tự chọn: 6 TC - Chọn 6 trong số 18 tín chỉ của các học phần sau:
- Quản trị học: 3TC
- Luật Kinh tế: 3TC
- Đạo đức kinh doanh: 3TC
- Phương pháp nghiên cứu trong kinh doanh: 3TC
- Nguyên lý Marketing: 3TC 
- Bền vững trong Kinh doanh: 3TC""",https://hanu.edu.vn/c/7923/Tai-chinh-Ngan-hang,
Chương trình đào tạo cử nhân hệ chính quy ngành Tài chính - Ngân hàng,"""Nội dung chương trình đào tạo - Khối kiến thức chuyên ngành""","""KHỐI KIẾN THỨC CHUYÊN NGÀNH: 36 tín chỉ (TC)
1. Bắt buộc: 21 TC
- Quản trị tài chính: 3TC 
- Quản trị ngân hàng: 3TC
- Tài chính doanh nghiệp: 3TC 
- Đánh giá tín dụng và Quản trị cho vay: 3TC
- Tài chính quốc tế: 3TC 
- Quản trị danh mục đầu tư: 3TC
- Lý thuyết Tài chính tiền tệ: 3TC
2. Tự chọn: Chọn 15 TC (12 TC đối với sinh viên làm khóa luận) trong số 33 tín chỉ của các học phần sau:
- Mô hình tài chính: 3TC 
- Kế toán quản trị: 3TC
- Hệ thống tài chính: 3TG 
- Khởi nghiệp: 3TC
- Phân tích báo cáo tài chính: 3TC 
- Quản trị rủi ro ngân hàng: 3TC
- Công cụ tài chính phải sinh: 3TC 
- Quản lý nguồn vốn: 3TC
- Mua bán & Sáp nhập: 3TC 
- Quản trị rủi ro tín dụng: 3TC
- Huy động vốn khởi nghiệp: 3TC""",https://hanu.edu.vn/c/7923/Tai-chinh-Ngan-hang,
Chương trình đào tạo cử nhân hệ chính quy ngành Tài chính - Ngân hàng,"""Nội dung chương trình đào tạo - Khối kiến thức bổ trợ""","""KHỐI KIẾN THỨC BỔ TRỢ:
Chọn 12 tín chỉ (6 tín chỉ đối với sinh viên làm khóa luận) trong số các học phần thuộc các ngành sau:
NGÀNH TÀI CHÍNH NGÂN HÀNG:
- Kế hoạch tài chính: 3TC 
- Quản trị doanh nghiệp: 3TC
- Đầu tư phi truyền thống: 3TC 
- Dịch vụ ngân hàng cá nhân và quản trị tài sản : 3TC
NGÀNH KẾ TOÁN: 
- Kế toán tài chính 1: 3TC
- Thuế: 3TC
NGÀNH QUẢN TRỊ: 
- Giao tiếp trong kinh doanh: 3TC 
- Quản trị nhân sự: 3TC
- Hành vi tổ chức: 3TC
- Quản trị chiến lược: 3TC
NGÀNH MARKETING:
- Marketing dịch vụ: 3TC
- Marketing kỹ thuật số: 3TC
Dự án Tốt nghiệp: 6 tín chỉ (TC)""",https://hanu.edu.vn/c/7923/Tai-chinh-Ngan-hang,
Chương trình đào tạo cử nhân hệ chính quy ngành Tài chính - Ngân hàng,"""Nội dung chương trình đào tạo - Thực tập và khóa luận tốt nghiệp""","""THỰC TẬP VÀ KHÓA LUẬN TỐT NGHIỆP: 12 tín chỉ (TC)
- Khóa luận tốt nghiệp: 9 TC
- Thực tập: 3 TC""",https://hanu.edu.vn/c/7923/Tai-chinh-Ngan-hang,
