Title,Summary,Content,URL,Contributor
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Trung Quốc,Thông tin liên hệ,"""KHOA TIẾNG TRUNG QUỐC
Địa chỉ: Phòng 315 – 317 Nhà C
Điện thoại: (84.024) 38 54 77 60        
Fax: (84.024) 38 54 77 60    
E-mail: khoatrung@hanu.edu.vn
Website: http://cn.hanu.vn
Facebook: Khoa tiếng Trung Quốc Hanu""",https://hanu.edu.vn/c/7911/Ngon-ngu-Trung-Quoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Trung Quốc,Trình độ đào tạo,"""- Cử nhân Ngôn ngữ Trung Quốc, hệ Chính quy (định hướng Biên -  Phiên dịch và Du lịch);
- Cử nhân Ngôn ngữ Trung Quốc Chất lượng cao;
- Cử nhân Ngôn ngữ Trung Quốc, hệ Vừa làm vừa học;
- Cử nhân bằng đại học thứ hai ngành Ngôn ngữ Trung Quốc, hệ chính quy (văn bằng 2)
- Thạc sĩ ngành Ngôn ngữ Trung Quốc;
- Đào tạo ngắn hạn, đào tạo theo hợp đồng ký kết với các cá nhân, tổ chức.""",https://hanu.edu.vn/c/7911/Ngon-ngu-Trung-Quoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Trung Quốc,Giảng viên,"""- 38 giảng viên cơ hữu (gồm 22 tiến sĩ, 16 thạc sĩ);
- Khoảng 20 giảng viên mời giảng là các chuyên gia, các nhà nghiên cứu đến từ các trường đại học, các viện nghiên cứu và giảng viên tình nguyện nước ngoài;
- Đội ngũ giảng viên nhiệt tình, yêu nghề, có phương pháp giảng dạy tiên tiến, được đào tạo và tu nghiệp tại các trường đại học danh tiếng trong và ngoài nước.""",https://hanu.edu.vn/c/7911/Ngon-ngu-Trung-Quoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Trung Quốc,Sinh viên,"""- Hơn 1.600 sinh viên các hệ đào tạo.
- Sinh viên nhiệt tình tham gia và giành nhiều giải thưởng tại các cuộc thi như: Cầu Hán ngữ, Dịch nói giỏi, Tôi là diễn thuyết gia...; sinh viên đạt danh hiệu: Sao Tháng Giêng, Sinh viên 5 tốt cấp trung ương, cấp thành phố;
- Tích cực tham gia các hoạt động ngoại khóa: Chiến dịch mùa hè xanh, các hội nghị quan trọng APEC, SEAGAMES, hoạt động giao lưu hữu nghị của thanh niên Việt – Trung ...;
- Sinh viên tổ chức nhiều hoạt động như: The Maze Runner, Viết thư pháp, võ thuật, múa hát, nấu ăn, lồng tiếng ...; tham gia các hoạt động cắm trại, giao lưu trại hè tại Trung Quốc.""",https://hanu.edu.vn/c/7911/Ngon-ngu-Trung-Quoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Trung Quốc,"""Học bổng, học chuyển tiếp tại Trung Quốc""","""- Sinh viên có nhiều cơ hội:
+ Nhận học bổng khuyến khích học tập của Trường Đại học Hà Nội; miễn giảm học phí cho các sinh viên thuộc diện chính sách;
+ Nhận học bổng khuyến học của các cơ quan, tổ chức, cá nhân trong và ngoài nước;
+ Nhận học bổng các khóa học ngắn hạn, hệ cử nhân, thạc sĩ của chính phủ Trung Quốc và của các trường đối tác với Khoa và Nhà trường;
+ Tham gia các chương trình chuyển tiếp, liên kết được chuyển đổi kết quả học tập với các trường đối tác với Khoa và Nhà trường;
+ Tham gia chương trình thực tập hưởng lương tại các trường Đại học ở Đài Loan (Trung Quốc), tham gia nghiên cứu khoa học và chuyển giao công nghệ.""",https://hanu.edu.vn/c/7911/Ngon-ngu-Trung-Quoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Trung Quốc,Việc làm,"""1. Biên-Phiên dịch viên/Biên tập viên/Nghiên cứu viên
- Phiên dịch viên tại các cơ quan/tổ chức/doanh nghiệp trong các lĩnh vực ngoại giao, kinh tế, giáo dục, xã hội;
- Biên dịch viên, biên tập viên tại các nhà xuất bản có xuất bản phẩm dịch từ tiếng Trung Quốc sang tiếng Việt hoặc/và ngược lại; các cơ quan báo chí; các văn phòng công chứng;
- Nghiên cứu viên tại các cơ sở đào tạo và viện nghiên cứu về Trung Quốc.
2. Thư ký văn phòng/Trợ lý đối ngoại/Trợ lý dự án: Thư ký văn phòng, nhân viên phụ trách đối ngoại, hợp tác, kinh doanh, xuất nhập khẩu với các đối tác nước ngoài tại cơ quan/tổ chức/doanh nghiệp cần năng lực tiếng Trung Quốc.
3. Nhân viên ngành du lịch
- Nhân viên kinh doanh, điều hành, chăm sóc khách hàng, hướng dẫn viên tại các cơ quan/tổ chức/doanh nghiệp du lịch - lữ hành trong và ngoài nước chuyên tổ chức các chương trình du lịch cho du khách Trung Quốc tới Việt Nam và ngược lại;
- Nhân viên kinh doanh, điều hành, chăm sóc khách hàng tại các nhà hàng, khách sạn có khách nói tiếng Trung Quốc.""",https://hanu.edu.vn/c/7911/Ngon-ngu-Trung-Quoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Trung Quốc,"""Nội dung chương trình đào tạo - Thông tin chung""","""Thời gian đào tạo: 04 năm 
Ngôn ngữ giảng dạy: Tiếng Trung Quốc 
Định hướng Biên - Phiên dịch: 154 tín chỉ 
Định hướng Du lịch: 154 tín chỉ""",https://hanu.edu.vn/c/7911/Ngon-ngu-Trung-Quoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Trung Quốc,"""Nội dung chương trình đào tạo - Khối kiến thức giáo dục đại cương""","""KHÔI KIÊN THỨC GIÁO DỤC ĐẠI CƯƠNG: 43 tín chỉ (TC) Cung cấp kiến thức mà sinh viên các chương trình đại học cần biết: Triết học Mác - Lê-nin (3TC), Kinh tế chính trị Mác - Lê-nin (2TC), Chủ nghĩa xã hội khoa học (2TC), Tư tưởng Hồ Chí Minh (2TC), Lịch sử Đảng Cộng sản Việt Nam (2TC), Pháp luật đại cương (2TC), Ứng dụng công nghệ thông tin (3TC), Ngoại ngữ 2 (14TC), Phương pháp học tập tiếng Trung Quốc (2TC), Giáo dục Thể chất (3TC), Giáo dục Quốc phòng (8TC).""",https://hanu.edu.vn/c/7911/Ngon-ngu-Trung-Quoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Trung Quốc,"""Nội dung chương trình đào tạo - Khối kiến thức cơ sở ngành""","""KHỐI KIỀN THỨC CƠ SỞ NGÀNH: 12 tín chỉ (TC) Cung cấp kiến thức nền tảng để học ngành ngôn ngữ và các định hướng nghề nghiệp liên quan. 
1. Bắt buộc: 8 TC 
- Nhập môn Việt ngữ học: 2 TC 
- Cơ sở văn hóa Việt Nam: 2 TC 
- Dẫn luận ngôn ngữ học: 2 TC 
- Phương pháp nghiên cứu khoa học: 2 TC
2. Tự chọn: 4 TC - Tự chọn 04 trong 08 TC của các học phần sau: 
- Tiếng Việt trong hành chức: 2 TC 
- Hà Nội học: 2 TC 
- Văn bản tiếng Việt: 2 TC 
- Dụng học Việt ngữ: 2 TC 
- Lịch sử văn minh thế giới: 2 TC""",https://hanu.edu.vn/c/7911/Ngon-ngu-Trung-Quoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Trung Quốc,"""Nội dung chương trình đào tạo - Khối kiến thức thực hành tiếng""","""KHỐI KIỀN THỨC THỰC HÀNH TIẾNG: 40 tín chỉ (TC) 
Thực hành tiếng Trung Quốc từ trình độ A1 đến C1 (bắt buộc) 
- Thực hành tiếng A1: 8 TC 
- Thực hành tiếng A2: 8 TC 
- Thực hành tiếng B1: 8 TC 
- Thực hành tiếng B2: 8 TC
- Thực hành tiếng C1: 8 TC""",https://hanu.edu.vn/c/7911/Ngon-ngu-Trung-Quoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Trung Quốc,"""Nội dung chương trình đào tạo - Khối kiến thức ngôn ngữ - văn hóa""","""KHỐI KIỀN THỨC NGÔN NGỮ - VĂN HÓA (24 tín chỉ): 
Bắt buộc: 20 TC 
- Ngữ âm học tiếng Trung Quốc: 2 TC
- Từ vựng học tiếng Trung Quốc: 3 TC
- Từ pháp học tiếng Trung Quốc: 3 TC
- Cú pháp học tiếng Trung Quốc: 3 TC
- Đất nước học Trung Quốc: 3 TC
- Lịch sử văn học Trung Quốc: 3 TC
- Lịch sử Trung Quốc: 3 TC
Tự chọn: 04 TC
- Ngôn ngữ học đối chiếu: 2 TC 
- Tiếng Trung Quốc cỗ đại: 2 TC 
- Trích giảng Văn học Trung Quốc: 2 TC
- Văn hóa dân gian Trung Quốc: 2 TC 
- Giao tiếp liên văn hóa: 2 TC 
- Hán tự học: 2 TC""",,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Trung Quốc,"""Nội dung chương trình đào tạo - Khối kiến thức chuyên ngành""","""KHÓI KIẾN THỨC CHUYÊN NGÀNH: 
1.	Định hướng Biên - Phiên dịch: 26 tín chỉ (TC) 
1.1.	Bắt buộc: 20 TC 
- Nhập môn Biên - phiên dịch: 2 TC 
- Phiên dịch cơ bản: 3 TC 
- Phiên dịch trung cấp: 3 TC 
- Phiên dịch nâng cao: 3 TC 
- Biên dịch cơ bản: 3 TC 
- Biên dịch trung cấp: 3 TC 
- Biên dịch nâng cao: 3TC
1.2. Tự chọn: 06 TC (chọn 6 trong số 22TC của các học phần sau): 
- Biên dịch chuyên đề Báo chí đối ngoại: 2 TC 
- Đọc dịch: 2 TC 
- Biên dịch chuyên đề kinh tế - thương mại: 2 TC 
- Nghiệp vụ Biên phiên dịch: 2 TC 
- Biên dịch chuyên đề Văn học: 2 TC 
- Văn hóa và Du lịch: 3 TC 
- Biên dịch chuyên đề Du lịch: 2 TC 
- Marketing Du lịch tiếng Trung Quốc: 3 TC 
- Biên dịch chuyên đề Pháp luật: 2 TC 
- Quản trị Lữ hành: 2 TC
2. Định hướng Du lịch: 26 tín chỉ (TC) 
2.1. Bắt buộc: 21 TC 
- Nhập môn du lịch tiếng Trung Quốc: 3 TC
- Tiếng Trung Quốc Du lịch 1: 3 TC
- Tiếng Trung Quốc Du lịch 2: 3 TC
- Marketing Du lịch tiếng Trung Quốc: 3 TC
- Địa lý Du lịch tiếng Trung Quốc: 3 TC
- Văn hóa và Du lịch: 3 TC
- Nghiệp vụ Hướng dẫn Du lịch: 3 TC
2.2. Tự chọn: 05 TC 
- Quản trị Lữ hành: 2 TC 
- Quản trị Khách sạn: 2 TC 
- Du lịch bền vững: 3 TC 
- Biên dịch chuyên đề Du lịch: 2 TC 
- Biên dịch cơ bản: 3 TC 
- Phiên dịch cơ bản: 3 TC""",https://hanu.edu.vn/c/7911/Ngon-ngu-Trung-Quoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Trung Quốc,"""Nội dung chương trình đào tạo - Thực tập và khóa luận tốt nghiệp""","""THỰC TẬP VÀ KHÓA LUẬN TỐT NGHIỆP: 09 tín chỉ (TC) 
1. Thực tập: 3 TC 
2. Khóa luận tốt nghiệp: 6 TC hoặc Học phần thay thế. Sinh viên lựa chọn trong các học phần sau: 
- Ngôn ngữ và Văn hóa Trung Quốc: 2 TC 
- Chuyên đề văn hóa Trung Quốc: 2 TC 
- Biên dịch chuyên đề văn học: 2 TC 
- Nghiệp vụ lễ tân khách sạn: 2 TC 
- Nhập môn dịch song song: 2 TC""",https://hanu.edu.vn/c/7911/Ngon-ngu-Trung-Quoc,
