Title,Summary,Content,URL,Contributor
Chương trình đào tạo cử nhân hệ chính quy ngành Công nghệ Thông tin,"""Thông tin liên lạc""","""KHOA CÔNG NGHỆ THÔNG TIN
Địa chỉ:     Phòng 210 - Nhà C
Điện thoại:     (84.24) 35 43 02 67     
Fax:        (84.24) 38 54 45 50
E-mail:     fit@hanu.edu.vn
Website:     http://fit.hanu.edu.vn
Facebook:    https://www.facebook.com/hanufit/""",https://hanu.edu.vn/c/7927/Cong-nghe-thong-tin,
Chương trình đào tạo cử nhân hệ chính quy ngành Công nghệ Thông tin,"""Giảng viên""","""- 28 giảng viên, 04 tiến sĩ, trên 90% giảng viên có bằng thạc sĩ và tiến sĩ được đào tạo ở nước ngoài tại các trường đại học nổi tiếng trên thế giới, nhiều giảng viên đã từng giảng dạy, nghiên cứu nhiều năm ở nước ngoài;
- Thường xuyên có các giáo sư từ nhiều trường đại học, viện nghiên cứu trên thế giới tới trao đổi, hợp tác nghiên cứu và tham gia giảng dạy trực tiếp cho sinh viên.""",https://hanu.edu.vn/c/7927/Cong-nghe-thong-tin,
Chương trình đào tạo cử nhân hệ chính quy ngành Công nghệ Thông tin,"""Sinh viên""","""- Sinh viên chính quy: 800 người.
- Đội ngũ sinh viên Khoa CNTT năng động và sáng tạo, có tiếng Anh tốt và kiến thức chuyên ngành vững vàng. Tích cực tham gia nghiên cứu khoa học và các hoạt động chuyên môn như: Phát triển các dự án công nghệ phục vụ cộng đồng, các cuộc thi về CNTT có quy mô quốc gia, quốc tế như Olympic tin học, lập trình Hackathon, khởi nghiệp và đổi mới sáng tạo, thử thách Trí tuệ nhân tạo …
- Liên chi đoàn, hội sinh viên Khoa CNTT hoạt động dựa trên tôn chỉ “trách nhiệm”, “chuyên nghiệp” và “nhiệt huyết”, đã tổ chức được những sự kiện lớn thường niên như: “Hello World”, “Xuân ấm cho em”, “Mùa hè xanh”,  “Next step real life”…""",https://hanu.edu.vn/c/7927/Cong-nghe-thong-tin,
Chương trình đào tạo cử nhân hệ chính quy ngành Công nghệ Thông tin,"""Hợp tác quốc tế, học chuyển tiếp tại nước ngoài""","""- Khoa CNTT đã ký kết nhiều thỏa thuận quan hệ hợp tác nghiên cứu và liên kết đào tạo với các trường đại học và viện nghiên cứu ở nhiều nước phát triển như:
+ Đại học University of Central Lancashire (UCLAN), Vương Quốc Anh;
+ Đại học Victoria, Australia;
+ Đại học Catania; Đại học Camerino, Italia;
+ Hiệp hội các Trường Cao đẳng Kỹ thuật Công lập (KOSEN), Nhật Bản.
- Sinh viên Khoa CNTT có nhiều cơ hội tham gia các chương trình trao đổi sinh viên với các trường đối tác tại Anh, New Zeland, Australia, Italia và Nhật Bản.""",https://hanu.edu.vn/c/7927/Cong-nghe-thong-tin,
Chương trình đào tạo cử nhân hệ chính quy ngành Công nghệ Thông tin,"""Việc làm""","""- Với chương trình đào tạo tiên tiến, học hỏi và kế thừa từ các trường đại học quốc tế, sinh viên Khoa CNTT có nhiều lợi thế khi ra trường: kỹ năng chuyên môn tốt, hiểu biết các công nghệ tiên tiến, trình độ tiếng Anh vượt trội, phong cách năng động, tự tin, chuyên nghiệp. Đây là những khác biệt rõ ràng so với sinh viên kỹ thuật được đào tạo theo phương pháp truyền thống;
- 60% sinh viên có việc làm phù hợp ngay trong thời gian thực tập; 100% sinh viên ra trường có việc làm phù hợp, mức lương trung bình năm đầu sau khi tốt nghiệp từ 10 – 12 triệu VND.
- Vị trí việc làm:
+ Các vị trí thuộc nhóm Phát triển sản phẩm phần mềm như: Lập trình viên (front-end, back-end, web và mobile); chuyên viên phân tích nghiệp vụ/ yêu cầu người dùng; chuyên viên thiết kế phần mềm; chuyên viên kiểm thử và đảm bảo chất lượng phần mềm; chuyên viên quản trị dự án và quy trình phát triển phần mềm.
+ Các vị trí thuộc nhóm Triển khai, quản trị mạng máy tính và các hệ thống thông tin như: chuyên viên quản trị và vận hành hệ thống (mạng, cơ sở dữ liệu và dịch vụ, ảo hóa và điện toán đám mây); chuyên viên an toàn và bảo mật thông tin; chuyên viên tư vấn ứng dụng và triển khai hệ thống thông tin.
+ Kỹ sư cầu nối, chuyên viên tư vấn kỹ thuật, quản trị dự án, chăm sóc khách hàng cho các doanh nghiệp nước ngoài.
+ Có khả năng tiếp tục học tập nâng cao trình độ ở các bậc học cao hơn như thạc sĩ, tiến sĩ để phục vụ công tác nghiên cứu, giảng dạy về CNTT tại các viện, trung tâm và cơ sở đào tạo.""",https://hanu.edu.vn/c/7927/Cong-nghe-thong-tin,
Chương trình đào tạo cử nhân hệ chính quy ngành Công nghệ Thông tin,"""Nội dung chương trình đào tạo - Giới thiệu chung""","""Thời gian đào tạo: 04 năm; Tổng số tín chỉ: 153 tín chỉ; Chương trinh giảng dạy bằng Tiếng Anh""",https://hanu.edu.vn/c/7927/Cong-nghe-thong-tin,
Chương trình đào tạo cử nhân hệ chính quy ngành Công nghệ Thông tin,"""Nội dung chương trình đào tạo - Khối kiến thức giáo dục đại cương""","""Khối kiến thức giáo dục đại cương: 66 tín chỉ (TC)
Cung cấp kiến thức chung mà sinh viên các chương trình đại học cần biết: Triết học Mác - Lê-nin (3TC), Kinh tế chính trị Mác - Lê-nin (2TC), Chủ nghĩa xã hội khoa học (2TC), Tư tưởng Hồ chí Minh (2TC), Lịch sử Đảng CSVN (2TC), Pháp luật đại cương (2TC), Giáo dục Thể chất (3TC), Giáo dục Quốc phòng-An ninh (8TC), Thực hành tiếng Anh từ trình độ A2 đến B2 (42TC).""",https://hanu.edu.vn/c/7927/Cong-nghe-thong-tin,
Chương trình đào tạo cử nhân hệ chính quy ngành Công nghệ Thông tin,"""Nội dung chương trình đào tạo - Khối kiến thức cơ sở ngành""","""Khối kiến thức cơ sở ngành: 50 tín chỉ (TC)
1. Bắt buộc: 44 TC
-	Toán cao cấp: 3 TC 
-	Toán rời rạc: 3TC
-	Xác suất thống kê: 3 TC
-	Phương pháp nghiên cứu khoa học: 2 TC
-	Nguyên lý máy tính: 3 TC
-	Quản lý dự án: 3 TC
-	Lập trình 1, 2: 6 TC
-	Nguyên lý hệ điều hành: 3 TC
-	Cấu trúc dữ liệu và giải thuật: 3 TC
-	Mạng máy tính: 3 TC
-	Phân tích và thiết kế hệ thống: 3 TC
-	Cơ sở dữ liệu: 3 TC
-	Chuyên đề 1, 2: 6 TC
2. Tự chọn: 6 TC - Chọn 6 trong số 12 tín chi của các học phần sau:
-	Trí tuệ nhân tạo: 3 TC	
-	Đồ họa máy tính: 3 TC
-	Hệ thống nhúng: 3 TC	
-	Nhập môn an toàn thông tin: 3 TC""",https://hanu.edu.vn/c/7927/Cong-nghe-thong-tin,
Chương trình đào tạo cử nhân hệ chính quy ngành Công nghệ Thông tin,"""Nội dung chương trình đào tạo - Khối kiến thức ngành""","""Khối kiến thức ngành:
1. Định hướng Công nghệ phần mềm (27 tín chỉ)
1.1. Bắt buộc: 15 TC
-	Công nghệ phần mềm 1, 2: 6 TC
-	Đảm bảo chất Iượng phần mềm: 3 TC
-	Lập trình Web: 3 TC
-	Quản lý dự án phần mềm: 3 TC
1.2. Tự chọn: 12 TC - Chọn 12 trong số 24 tín chi của các học phần sau: 
-	Lập trình Mobile (3TC)
-	Đa phương tiện (3TC)
-	Lập trình mạng (3TC)
-	Khai phá dữ liệu lởn (3TC)
-	Tương tác Người - Máy (3TC)
-	Internet và dịch vụ web (3TC)
-	Phát triển phần mềm Java (3TC)
-	Phân tích yêu cầu phần mềm (3TC).
2. Định hướng Hệ thống thông tin (27 tín chỉ)
2.1. Bắt buộc: 15 TC
-	Thiết kế hệ thống thông tin: 3 TC
-	Hệ thống thông tin doanh nghiệp: 3 TC
-	Tương tác Người - Máy: 3 TC
-	Đa phương tiện: 3 TC
-	Kinh doanh điện tử: 3 TC
2.2. Tự chọn: 12 TC - Chọn 12 trong số 24 tín chỉ của các học phần sau: 
-	Lập trình web (3TC)
-	Quản trị mạng (3TC)
-	Hệ thống phân tán (3TC)
-	Khai phá dữ liệu lớn (3TC)
-	Hệ quản trị cơ sử dữ liệu (3TC)
-	Phân tích yêu cầu phán mểm (3TC)
-	An ninh mạng (3TC)
-	Phát triển phần mềm Java (3TC).
3. Định hướng Mạng và truyền thông (27 tín chỉ)
3.1. Bắt buộc: 15 TC
-	Quản trị mạng: 3 TC 
-	An ninh mạng: 3TC
-	Lập trinh mạng: 3 TC
-	Internet và dịch vụ Web: 3 TC
-	Mạng không dây và ứng dụng: 3 TC
3.2. Tự chọn: 12 TC - Chọn 12 trong số 24 tín chỉ của các học phần sau: 
-	Lập trình web (3TC)
-	Thiết kế hệ thống thông tin (3TC)
-	Hệ thống phân tán (3TC)
-	Đánh giá hiệu năng mạng (3TC)
-	Phân tích yêu cáu phần mém (3TC)
-	Đa phương tiện (3TC)
-	Khai phá dữ liệu lớn (3TC)
-	Các hệ thống thông tin doanh nghiệp (3TC).""",https://hanu.edu.vn/c/7927/Cong-nghe-thong-tin,
Chương trình đào tạo cử nhân hệ chính quy ngành Công nghệ Thông tin,"""Nội dung chương trình đào tạo - Thực tập và khóa luận tốt nghiệp""","""Thực tập và khóa luận tốt nghiệp 10 tín chỉ (TC)
1. Thực tập tốt nghiệp bắt buộc: 4 TC
2. Khóa luận tốt nghiệp tự chọn: 6TC hoặc học phần thay thế khóa luận tốt nghiệp (Chọn 6 TC trong số 12 TC) của các học phần sau: 
+ Đạo đức nghề nghiệp trong ngành công nghệ thông tin: 3 TC
+ Xử lý ảnh và nhận dạng: 3 TC
+ Các chủ để mới trong Công nghệ thông: 3 TC
+ Học máy và ứng dụng: 3 TC""",https://hanu.edu.vn/c/7927/Cong-nghe-thong-tin,
