Title,Summary,Content,URL,Contributor
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Italia chất lượng cao,Thông tin liên hệ,"""KHOA TIẾNG ITALIA
Địa chỉ: Phòng 316 - Nhà C
Điện thoại: (024) 35 54 17 95
E-mail: ita@hanu.edu.vn
Website: http://ita.hanu.vn
Facebook: https://www.facebook.com/ItaHanu/""",https://hanu.edu.vn/c/7920/Ngon-ngu-Italia-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Italia chất lượng cao,Chương trình đào tạo tiên tiến,"""- Tham khảo có chọn lọc từ các chương trình đào tạo của các trường đại học có uy tín ở Italia, đáp ứng nhu cầu nhân lực chất lượng cao của thị trường lao động ở Việt Nam. 
- Cung cấp kiến thức chuyên sâu về ngôn ngữ và văn hóa Italia, kiến thức nghề nghiệp cơ bản trong lĩnh vực Biên - Phiên dịch và Du lịch, đồng thời trau dồi các kỹ năng mềm và kỹ năng nghiệp vụ chuyên môn khác.
- Tăng cường nội dung kiến thức và thời lượng các hoạt động thực hành, kiến tập, thực tập nhằm giúp sinh viên phát huy tối đa năng lực ngoại ngữ, hiểu biết chuyên ngành và cận ngành.""",https://hanu.edu.vn/c/7920/Ngon-ngu-Italia-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Italia chất lượng cao,Sử dụng thành thạo hai ngoại ngữ,"""- Chuẩn đầu ra đạt trình độ C1 tiếng Italia và trình độ B2 tiếng Anh theo Khung tham chiếu Trình độ Ngoại ngữ chung Châu Âu.
- Môi trường học tập bậc đại học có truyền thống hơn 60 năm về giảng dạy và nghiên cứu ngoại ngữ với đội ngũ giảng viên nhiệt tình, giỏi chuyên môn, được đào tạo đúng chuyên ngành tại Cộng hòa Italia.""",https://hanu.edu.vn/c/7920/Ngon-ngu-Italia-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Italia chất lượng cao,Cơ hội nghề nghiệp lớn,"""Chương trình tích hợp cả hai định hướng nghề nghiệp có chính sách đãi ngộ lao động cao và có nhu cầu lớn về nhân lực chất lượng cao: Biên - Phiên dịch và Du lịch. Sinh viên tốt nghiệp có thể đảm nhận những vị trí công việc như sau:
- Biên dịch viên, phiên dịch viên tại các cơ quan, doanh nghiệp, tổ chức trong các lĩnh vực ngoại giao, kinh tế, du lịch v.v.; Biên tập viên tại các đơn vị xuất bản, cơ quan báo chí, truyền thông; Cộng tác viên các văn phòng dịch thuật, công chứng.
- Nhân viên bộ phận kinh doanh, điều hành, chăm sóc khách hàng tại các đại lý du lịch, công ty du lịch - lữ hành khai thác thị trường Italia; Hướng dẫn viên du lịch cố định, cộng tác viên hướng dẫn tiếng Italia tại các tuyến điểm du lịch.
- Nghiên cứu viên về ngôn ngữ Italia tại các cơ sở đào tạo, viện ngôn ngữ Italia.""",https://hanu.edu.vn/c/7920/Ngon-ngu-Italia-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Italia chất lượng cao,"""Cơ hội học bổng, học trao đổi, học chuyển tiếp tại quốc tế""","""- Trong thời gian học, sinh viên có thể tham gia các chương trình trao đổi, liên kết với thời lượng từ 01 đến 02 học kỳ tại các trường đại học đối tác Italia của Trường Đại học Hà Nội.
- Sau khi tốt nghiệp, sinh viên có thể tiếp tục theo học ở các bậc học cao hơn với các chương trình Thạc sĩ chuyên ngành Ngôn ngữ Italia, Giảng dạy Ngôn ngữ - Văn hóa Italia cho người nước ngoài, Biên - Phiên dịch và Du lịch tại các cơ sở đào tạo trong nước và nước ngoài (Italia, Thụy Sĩ).""",https://hanu.edu.vn/c/7920/Ngon-ngu-Italia-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Italia chất lượng cao,Giảng viên và chuyên gia,"""- Đội ngũ giảng viên gồm 02 Tiến sĩ, 08 Thạc sĩ và 03 trợ giảng, trong đó 100% giảng viên được đào tạo đúng chuyên ngành tại Italia và có kinh nghiệm lâu năm trong lĩnh vực Biên - Phiên dịch và Du lịch.
- Đội ngũ giảng viên thỉnh giảng, cộng tác viên là các chuyên gia giỏi chuyên môn, giàu kinh nghiệm đến từ ĐSQ Italia, các doanh nghiệp Italia và Việt Nam tham gia giảng dạy đối với khối kiến thức chuyên ngành về Biên - Phiên dịch và Du lịch.""",https://hanu.edu.vn/c/7920/Ngon-ngu-Italia-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Italia chất lượng cao,"""Nội dung chương trình đào tạo - Thông tin chung""","""Thời gian đào tạo: 04 năm 
Ngôn ngữ giảng dạy: Tiếng Italia 
Tổng số tín chỉ: 163 tín chỉ""",https://hanu.edu.vn/c/7920/Ngon-ngu-Italia-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Italia chất lượng cao,"""Nội dung chương trình đào tạo - Khối kiến thức giáo dục đại cương""","""KHỐI KIẾN THỨC GIÁO DỤC ĐẠI CƯƠNG: 47 tín chỉ (TC) Cung cấp kiến thức chung mà sinh viên các chương trình đại học cần biết: Triết học Mác - Lê-nin (3T), Kinh tế chính trị Mác - Lê-nin (2TC), Chủ nghĩa xã hội khoa học (2T), Tư tưởng Hồ chí Minh (2TC), Lịch sử Đảng CSVN (2TC), Pháp luật đại cương (2TC), Ứng dụng công nghệ thông tin (3TC), Ngoại ngữ 2 (20TC), Giáo dục Thể chất (3TC), Giáo dục Quốc phòng (8TC).""",https://hanu.edu.vn/c/7920/Ngon-ngu-Italia-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Italia chất lượng cao,"""Nội dung chương trình đào tạo - Khối kiến thức cơ sở ngành""","""KHỐI KIẾN THỨC CƠ SỞ NGÀNH: 12 tín chỉ (TC)
Cung cấp kiến thức nền tảng để học ngành ngôn ngữ và các định hướng nghề nghiệp liên quan 
1. Bắt buộc: 8 TC
- Nhập môn Việt ngữ học: 2 TC
- Dẫn luận ngôn ngữ học: 2 TC
- Cơ sở văn hóa Việt Nam: 2 TC
- Phương pháp NCKH: 2 TC
2. Tự chọn: Chọn 4 trong số 8TC của các học phần sau:
- Lịch sử văn minh thé giới: 2 TC
- Tiếng Việt thực hành: 2 TC
- Soạn thảo văn bản tiếng Việt: 2 TC
- Hà Nội học: 2 TC""",https://hanu.edu.vn/c/7920/Ngon-ngu-Italia-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Italia chất lượng cao,"""Nội dung chương trình đào tạo - Khối kiến thức theo nhóm ngành""","""KHỐI KIẾN THỨC THEO NHÓM NGÀNH: 67 tín chỉ (TC)
1. KHỐI KIẾN THỨC TIẾNG ITALIA: 46 TC
- Thực hành tiếng trình độ từ A1 đến C1.
2. KHỐI KIẾN THỨC NGÔN NGỮ VÀ VĂN HÓA: 21 TC
2.1. Bắt buộc: 17 TC
Ngữ âm và Âm vị học (2TC), Từ vựng học (2TC), Từ pháp học (2TC), Cú pháp học (2TC), Văn hóa và Văn minh Italia (2TC), Ngôn ngữ học đối chiếu (2TC), Văn học Italia (3TC), Ngữ dụng học (2TC).
2.2. Tự chọn: 04 TC - Chọn 4 trong số 8 TC của các học phần sau:
Ngôn ngữ học văn bản (2TC), Phân tích diễn ngôn (2TC), Lịch sử nghệ thuật Italia (2TC), Tiếng Italia học thuật (2TC).""",https://hanu.edu.vn/c/7920/Ngon-ngu-Italia-CLC,
