Title,Summary,Content,URL,Contributor
Chương trình đào tạo cử nhân hệ chính quy ngành Truyền thông Doanh nghiệp,Thông tin chung,"""CHƯƠNG TRÌNH ĐÀO TẠO NGÀNH TRUYỀN THÔNG DOANH NGHIỆP
- Tên ngành: Truyền thông doanh nghiệp
- Trình độ: Đại học
- Mã ngành: 7320109
- Thời gian đào tạo: 04 năm
- Ngôn ngữ đào tạo: Tiếng Pháp""",https://hanu.edu.vn/c/7930/Truyen-thong-doanh-nghiep,
Chương trình đào tạo cử nhân hệ chính quy ngành Truyền thông Doanh nghiệp,Chương trình đào tạo tiên tiến,"""- Cung cấp kiến thức đa dạng về truyền thông đại chúng, truyền thông tiếp thị, quảng cáo, quan hệ công chúng, truyền thông điện tử, tổ chức sự kiện... đồng thời rèn luyện các kỹ năng phân tích, tổng hợp thông tin, xây dựng, thực hiện và quản lý chiến lược truyền thông.
- Nhiều giờ thực hành, làm dự án, thực tập để sinh viên phát huy tối đa khả năng sử dụng kiến thức chuyên ngành và ngoại ngữ, cũng như các kỹ năng mềm.
- Tương thích với các chương trình đào tạo quốc tế của Pháp và Bỉ, đáp ứng xu thế truyền thông hiện đại và phù hợp với đặc thù Việt Nam.""",https://hanu.edu.vn/c/7930/Truyen-thong-doanh-nghiep,
Chương trình đào tạo cử nhân hệ chính quy ngành Truyền thông Doanh nghiệp,Sử dụng thành thạo 2 ngoại ngữ,"""- Sinh viên ra trường đạt trình độ tiếng Pháp B2 và tiếng Anh B1 để có thể cập nhật các kiến thức mới nhất về ngành truyền thông, phục vụ học tập và công việc.
- Học ngoại ngữ tại một trường đại học có truyền thống về giảng dạy ngoại ngữ hơn 60 năm, với các giảng viên nhiệt tình, giỏi chuyên môn, được đào tạo tại Pháp, Bỉ, Canada.""",https://hanu.edu.vn/c/7930/Truyen-thong-doanh-nghiep,
Chương trình đào tạo cử nhân hệ chính quy ngành Truyền thông Doanh nghiệp,Giảng viên và chuyên gia,"""- 100% giảng viên được đào tạo tại nước ngoài, tham gia tích cực vào Mạng lưới nghiên cứu Thông tin – Truyền thông tại Việt Nam, thành viên của Hiệp hội nghiên cứu Thông tin và Truyền thông Pháp.
- Nhiều giảng viên thỉnh giảng là chuyên gia truyền thông, nhà báo, doanh nhân, giảng viên các cơ sở đào tạo và nghiên cứu có uy tín của Việt Nam, Bỉ và Pháp.""",https://hanu.edu.vn/c/7930/Truyen-thong-doanh-nghiep,
Chương trình đào tạo cử nhân hệ chính quy ngành Truyền thông Doanh nghiệp,"""Học bổng, cơ hội học chuyển tiếp tại nước ngoài""","""- Hàng năm, sinh viên có cơ hội nhận nhiều học bổng hỗ trợ học tập từ Cơ quan Đại học Pháp ngữ (AUF), học bổng do Chính phủ Canada trao tặng để học trao đổi ngành Truyền thông tại Đại học Québec tại Trois-Rivière trong 01 học kỳ hoặc 01 năm.  
- Cơ hội học trao đổi tự túc tại các trường đối tác chuyên đào tạo về Truyền thông số, Truyền thông xã hội tại Pháp, Bỉ, Canada.
- Sau khi tốt nghiệp, sinh viên có thể tiếp tục theo học các chương trình Thạc sĩ chuyên ngành Truyền thông tại các cơ sở đào tạo trong nước và nước ngoài (Pháp, Bỉ, Canada).""",https://hanu.edu.vn/c/7930/Truyen-thong-doanh-nghiep,
Chương trình đào tạo cử nhân hệ chính quy ngành Truyền thông Doanh nghiệp,Việc làm,"""Truyền thông đang là lĩnh vực thiếu nguồn nhân lực được đào tạo bài bản: mọi cơ quan, tổ chức, doanh nghiệp đều cần có bộ phận chuyên trách về truyền thông. Sinh viên chuyên ngành có rất nhiều cơ hội thực tập, tìm việc, học tập nâng cao trình độ và phát triển bản thân.
Sinh viên tốt nghiệp có thể đảm nhận công việc trong nhiều lĩnh vực :
- Truyền thông: nhân viên truyền thông, cán bộ phụ trách quan hệ báo chí, quan hệ công chúng, truyền thông nội bộ, vận động hành lang hoặc nhân viên các hãng truyền thông, v.v.
- Doanh nghiệp: nhân viên marketing, nhân viên xây dựng và quảng bá thương hiệu, tổ chức sự kiện, quản lý nhãn hàng, quản lý khủng hoảng, phụ trách đối ngoại, v.v.
- Báo chí: phóng viên, biên tập viên báo viết, báo mạng, quản trị nội dung, v.v.""",https://hanu.edu.vn/c/7930/Truyen-thong-doanh-nghiep,
Chương trình đào tạo cử nhân hệ chính quy ngành Truyền thông Doanh nghiệp,"""Nội dung chương trình đào tạo - Thông tin chung""","""Thời gian đào tạo: 04 năm 
Tổng số tín chỉ: 154 tín chỉ
Chương trình giảng dạy bằng tiếng Pháp""",https://hanu.edu.vn/c/7930/Truyen-thong-doanh-nghiep,
Chương trình đào tạo cử nhân hệ chính quy ngành Truyền thông Doanh nghiệp,"""Nội dung chương trình đào tạo - Khối kiến thức giáo dục đại cương""","""KHỐI KIỀN THỨC GIÁO DỤC ĐẠI CƯƠNG: 41 tín chỉ (TC)
Cung cấp kiến thức chung mà sinh viên các chương trình đại học cần biết: Triết học Mác - Lê-nin (3TC), Kinh tế chính trị Mác — Lê-nin (2TC), Chủ nghĩa xã hội khoa học (2TC), Tư tưởng Hồ chí Minh (2TC), Lịch sử Đảng Cộng sản Việt Nam (2TC), Pháp luật đại cương (2TC), Giáo dục Thể chất (3TC), Giáo dục Quốc phòng-An ninh (8TC), Ứng dụng CNTT (3TC), Ngoại ngữ 2 từ A1 đến B1 (14TC).""",https://hanu.edu.vn/c/7930/Truyen-thong-doanh-nghiep,
Chương trình đào tạo cử nhân hệ chính quy ngành Truyền thông Doanh nghiệp,"""Nội dung chương trình đào tạo - Khối kiến thức cơ sở ngành""","""KHỐI KIỀN THỨC CƠ SỞ NGÀNH: 18 tín chỉ (TC)
Cung cấp kiến thức nền tảng để học ngành truyền thông và các định hướng nghề nghiệp liên quan:
1. Bắt buộc: 14 TC Tự chọn:
- Lược sử văn hoá Việt Nam: 2TC 
- Nhập môn truyền thông: 2TC 
- Tâm lý học truyền thông: 2TC 
- Lý thuyết Truyền thông: 2TC 
- Pháp luật và Đạo đức nghề nghiệp: 2TC 
- Nguyên lý Marketing: 2TC 
2. Tự chọn: Chọn 4TC trong số 10 TC
- Lịch sử văn minh thế giới: 2TC
- Hà Nội học: 2TC
- Văn bản tiếng Việt: 2TC
- Tiếng Việt trong hành chức: 2TC
- Cơ sở văn hóa Việt Nam: 2TC""",https://hanu.edu.vn/c/7930/Truyen-thong-doanh-nghiep,
Chương trình đào tạo cử nhân hệ chính quy ngành Truyền thông Doanh nghiệp,"""Nội dung chương trình đào tạo - Khối kiến thức theo ngành""","""KHỐI KIẾN THỨC THEO NGÀNH: 38 tín chỉ (TC)
1. Khối kiến thức tiếng: 32 TC gồm các học phần Thực hành tiếng Pháp, trình độ từ A1 đến B2.
2. Khối kiến thức tiếng chuyên ngành: 6 TC
- Tiếng Pháp chuyên ngành truyền thông: 3TC
- Tiếng Pháp chuyên ngành kinh tế: 3TC""",https://hanu.edu.vn/c/7930/Truyen-thong-doanh-nghiep,
